order_id,order_time,item_id,item_name,category,unit_price,quantity,total_amount,outlet_id,patron_id,payment_mode,stock_units,reorder_level
ORD-50034,2025-03-26 11:20:00,M108,Cold Brew Coffee,beverages,159.0,1,159.0,OUT-BLR,PAT-2009,card,60,15
ORD-50035,2025-03-02 17:07:00,M101,Paneer Tikka Skewers,Starters,249.0,5,1245.0,OUT-KOL,PAT-2006,Wallet,40,10
ORD-50036,2025-01-16 16:52:00,M102,Peri-Peri Fries,Sides,129.0,5,645.0,OUT-BBSR,PAT-2001,cash,90,20
ORD-50037,2025-01-07 22:02:00,M101,Paneer Tikka Skewers,Starters,249.0,4,996.0,OUT-BBSR,PAT-2010,Cash,40,10
ORD-50038,2025-02-13 16:52:00,M102,Peri-Peri Fries,Sides,129.0,4,516.0,OUT-BBSR,PAT-2011,cash,90,20
ORD-50039,2025-01-25 19:22:00,M106,Choco Lava Cake,Desserts,179.0,2,358.0,OUT-BLR,PAT-2016,,8,12
ORD-50040,2025-01-19 19:43:00,M109,Loaded Nachos Platter,starters,269.0,3,807.0,OUT-BBSR,,Card,5,10
ORD-50041,15-02-2025 08:24:00,M102,Peri-Peri Fries,Sides,129.0,2,258.0,OUT-BLR,PAT-2023,Cash,90,20
ORD-50042,2025-03-08 16:49:00,M106,Choco Lava Cake,Desserts,179.0,2,358.0,OUT-BBSR,PAT-2003,cash,8,12
ORD-50043,2025-01-10 13:57:00,M109,Loaded Nachos Platter,starters,269.0,3,807.0,OUT-KOL,PAT-2007,Wallet,5,10
ORD-50044,2025-03-24 16:27:00,M111,Falafel Wrap,Sides,189.0,2,378.0,OUT-KOL,PAT-2004,,22,8
ORD-50045,2025-03-10 10:13:00,M111,Falafel Wrap,Sides,189.0,4,756.0,OUT-KOL,PAT-2008,cash,22,8
ORD-50046,2025/02/18 21:20,M109,Loaded Nachos Platter,starters,269.0,1,269.0,OUT-BBSR,PAT-2018,Card,5,10
ORD-50047,2025-03-12 22:07:00,M106,Choco Lava Cake,Desserts,179.0,4,716.0,OUT-KOL,PAT-2014,upi,8,12
ORD-50048,2025-03-10 08:14:00,M103,Butter Chicken Bowl,Main Course,329.0,4,1316.0,OUT-BBSR,PAT-2023,upi,35,8
ORD-50049,2025-03-18 10:37:00,M107,Veg Hakka Noodles,Main Course,219.0,4,876.0,OUT-BBSR,PAT-2016,cash,45,10
ORD-50050,2025-01-14 22:50:00,M109,Loaded Nachos Platter,starters,269.0,4,1076.0,OUT-KOL,PAT-2016,Card,5,10
ORD-50051,2025-01-09 18:00:00,M109,Loaded Nachos Platter,starters,269.0,2,538.0,OUT-BBSR,PAT-2013,card,5,10
ORD-50052,2025-02-10 16:47:00,M106,Choco Lava Cake,Desserts,179.0,1,179.0,OUT-KOL,PAT-2006,,8,12
ORD-50053,2025-02-08 13:59:00,M107,Veg Hakka Noodles,Main Course,219.0,4,876.0,OUT-BLR,PAT-2017,card,45,10
ORD-50054,2025-02-08 11:58:00,M108,Cold Brew Coffee,beverages,159.0,3,477.0,OUT-BBSR,PAT-2007,cash,60,15
ORD-50055,2025-01-01 17:41:00,M105,Mango Basil Cooler,Beverages,149.0,2,298.0,OUT-BBSR,PAT-2005,UPI,70,15
ORD-50056,2025-01-27 08:19:00,M111,Falafel Wrap,Sides,189.0,5,945.0,OUT-BLR,PAT-2013,cash,22,8
ORD-50057,2025-01-02 19:00:00,M110,Classic Cheese Burger,Main Course,239.0,4,956.0,OUT-BLR,PAT-2022,upi,30,8
ORD-50058,2025-02-17 18:07:00,M108,Cold Brew Coffee,beverages,159.0,3,477.0,OUT-BBSR,PAT-2008,Wallet,60,15
ORD-50059,2025-02-15 14:02:00,M104,Margherita Wood-Fired Pizza,Main Course,299.0,4,1196.0,OUT-BBSR,PAT-2003,UPI,25,8
ORD-50060,2025-03-24 11:48:00,M107,Veg Hakka Noodles,Main Course,219.0,2,438.0,OUT-BLR,PAT-2006,UPI,45,10
ORD-50061,2025/01/12 12:00,M109,Loaded Nachos Platter,starters,269.0,4,1076.0,OUT-KOL,PAT-2008,,5,10
ORD-50062,2025-01-20 09:01:00,M109,Loaded Nachos Platter,starters,269.0,5,1345.0,OUT-KOL,,card,5,10
ORD-50063,2025-01-14 21:03:00,M107,Veg Hakka Noodles,Main Course,219.0,3,657.0,OUT-KOL,PAT-2005,UPI,45,10
ORD-50064,2025-03-19 21:34:00,M107,Veg Hakka Noodles,Main Course,219.0,3,657.0,OUT-KOL,PAT-2025,upi,45,10
ORD-50065,2025-03-22 16:59:00,M104,Margherita Wood-Fired Pizza,Main Course,299.0,5,1495.0,OUT-BLR,PAT-2014,Card,25,8
ORD-50066,2025-02-04 12:53:00,M109,Loaded Nachos Platter,starters,269.0,4,1076.0,OUT-KOL,PAT-2002,,5,10
ORD-50067,2025-02-14 17:33:00,M107,Veg Hakka Noodles,Main Course,219.0,1,219.0,OUT-KOL,PAT-2024,Card,45,10
ORD-50068,2025-03-04 08:08:00,M112,Blueberry Cheesecake,Desserts,199.0,2,398.0,OUT-BLR,PAT-2013,cash,15,6
ORD-50069,2025-02-18 14:36:00,M103,Butter Chicken Bowl,Main Course,329.0,4,1316.0,OUT-KOL,PAT-2001,Wallet,35,8
ORD-50070,2025-02-14 20:55:00,M103,Butter Chicken Bowl,Main Course,329.0,1,329.0,OUT-KOL,PAT-2013,upi,35,8
ORD-50071,2025-01-14 22:00:00,M106,Choco Lava Cake,Desserts,179.0,2,358.0,OUT-KOL,PAT-2015,,8,12
ORD-50072,2025-01-09 19:45:00,M112,Blueberry Cheesecake,Desserts,199.0,5,995.0,OUT-BLR,PAT-2021,cash,15,6
ORD-50073,2025-03-11 21:05:00,M101,Paneer Tikka Skewers,Starters,249.0,3,747.0,OUT-KOL,PAT-2010,UPI,40,10
ORD-50074,2025-03-27 22:52:00,M111,Falafel Wrap,Sides,189.0,3,567.0,OUT-BLR,PAT-2014,cash,22,8
ORD-50075,2025-03-15 13:15:00,M106,Choco Lava Cake,Desserts,179.0,5,895.0,OUT-BLR,PAT-2013,Cash,8,12
ORD-50076,2025/03/13 21:47,M102,Peri-Peri Fries,Sides,129.0,1,129.0,OUT-BBSR,PAT-2006,,90,20
ORD-50077,2025-02-03 09:10:00,M111,Falafel Wrap,Sides,189.0,3,567.0,OUT-BBSR,PAT-2001,UPI,22,8
ORD-50078,2025-03-17 21:09:00,M105,Mango Basil Cooler,Beverages,149.0,5,745.0,OUT-KOL,PAT-2024,Wallet,70,15
ORD-50079,2025-03-29 21:36:00,M112,Blueberry Cheesecake,Desserts,199.0,4,796.0,OUT-KOL,PAT-2010,card,15,6
ORD-50080,2025-03-25 12:06:00,M106,Choco Lava Cake,Desserts,179.0,5,895.0,OUT-KOL,PAT-2013,Wallet,8,12
ORD-50081,10-01-2025 18:02:00,M105,Mango Basil Cooler,Beverages,149.0,3,447.0,OUT-BBSR,PAT-2013,card,70,15
ORD-50082,2025-01-25 17:41:00,M103,Butter Chicken Bowl,Main Course,329.0,1,329.0,OUT-KOL,PAT-2023,Cash,35,8
ORD-50083,2025-01-01 16:43:00,M105,Mango Basil Cooler,Beverages,149.0,2,298.0,OUT-KOL,,Cash,70,15
ORD-50084,2025-03-13 21:18:00,M107,Veg Hakka Noodles,Main Course,219.0,4,876.0,OUT-BBSR,PAT-2007,card,45,10
ORD-50085,2025-03-03 08:28:00,M106,Choco Lava Cake,Desserts,179.0,1,179.0,OUT-BLR,PAT-2012,card,8,12
ORD-50086,2025-03-26 09:11:00,M101,Paneer Tikka Skewers,Starters,249.0,1,249.0,OUT-BLR,PAT-2009,,40,10
ORD-50087,2025-02-17 17:35:00,M109,Loaded Nachos Platter,starters,269.0,3,807.0,OUT-BLR,PAT-2010,,5,10
ORD-50088,2025-02-25 17:05:00,M101,Paneer Tikka Skewers,Starters,249.0,2,498.0,OUT-KOL,PAT-2022,UPI,40,10
ORD-50089,2025-02-27 10:48:00,M110,Classic Cheese Burger,Main Course,239.0,1,239.0,OUT-KOL,PAT-2012,card,30,8
ORD-50090,2025-01-05 14:18:00,M110,Classic Cheese Burger,Main Course,239.0,5,1195.0,OUT-BLR,,Card,30,8
ORD-50091,2025/01/10 09:32,M106,Choco Lava Cake,Desserts,179.0,1,179.0,OUT-KOL,PAT-2019,Cash,8,12
ORD-50092,2025-03-22 17:59:00,M104,Margherita Wood-Fired Pizza,Main Course,299.0,1,299.0,OUT-KOL,PAT-2018,,25,8
ORD-50093,2025-01-23 11:44:00,M106,Choco Lava Cake,Desserts,179.0,1,179.0,OUT-BLR,,upi,8,12
ORD-50094,2025-02-03 14:55:00,M110,Classic Cheese Burger,Main Course,239.0,1,239.0,OUT-BBSR,PAT-2019,card,30,8
ORD-50095,2025-02-07 09:25:00,M101,Paneer Tikka Skewers,Starters,249.0,1,249.0,OUT-KOL,PAT-2004,,40,10
ORD-50096,2025-03-06 20:35:00,M106,Choco Lava Cake,Desserts,179.0,5,895.0,OUT-BBSR,PAT-2018,Wallet,8,12
ORD-50097,2025-03-23 09:56:00,M102,Peri-Peri Fries,Sides,129.0,4,516.0,OUT-KOL,PAT-2020,,90,20
ORD-50098,2025-01-30 18:23:00,M103,Butter Chicken Bowl,Main Course,329.0,3,987.0,OUT-BBSR,PAT-2009,UPI,35,8
ORD-50099,2025-03-17 21:35:00,M110,Classic Cheese Burger,Main Course,239.0,2,478.0,OUT-BLR,PAT-2017,,30,8
ORD-50100,2025-01-25 16:00:00,M109,Loaded Nachos Platter,starters,269.0,4,1076.0,OUT-BBSR,PAT-2016,Wallet,5,10
ORD-50101,11-03-2025 15:52:00,M112,Blueberry Cheesecake,Desserts,199.0,5,995.0,OUT-BLR,PAT-2005,,15,6
ORD-50102,2025-01-07 10:40:00,M101,Paneer Tikka Skewers,Starters,249.0,5,1245.0,OUT-BLR,PAT-2023,cash,40,10
ORD-50103,2025-03-06 22:27:00,M101,Paneer Tikka Skewers,Starters,249.0,4,996.0,OUT-KOL,PAT-2018,upi,40,10
ORD-50104,2025-03-29 19:58:00,M109,Loaded Nachos Platter,starters,269.0,1,269.0,OUT-KOL,PAT-2004,cash,5,10
ORD-50105,2025-03-04 17:58:00,M110,Classic Cheese Burger,Main Course,239.0,2,478.0,OUT-KOL,PAT-2003,Card,30,8
ORD-50106,2025/01/29 20:54,M104,Margherita Wood-Fired Pizza,Main Course,299.0,3,897.0,OUT-BLR,PAT-2009,Wallet,25,8
ORD-50107,2025-02-15 17:51:00,M111,Falafel Wrap,Sides,189.0,5,945.0,OUT-KOL,PAT-2016,upi,22,8
ORD-50108,2025-01-27 08:57:00,M112,Blueberry Cheesecake,Desserts,199.0,3,597.0,OUT-BBSR,PAT-2001,upi,15,6
ORD-50109,2025-02-25 08:04:00,M104,Margherita Wood-Fired Pizza,Main Course,299.0,2,598.0,OUT-KOL,PAT-2023,cash,25,8
ORD-50110,2025-03-29 19:19:00,M106,Choco Lava Cake,Desserts,179.0,4,716.0,OUT-BBSR,PAT-2015,Card,8,12
ORD-50111,2025-02-11 16:35:00,M101,Paneer Tikka Skewers,Starters,249.0,5,1245.0,OUT-BBSR,PAT-2012,upi,40,10
ORD-50112,2025-02-04 11:15:00,M110,Classic Cheese Burger,Main Course,239.0,5,1195.0,OUT-KOL,PAT-2005,Card,30,8
ORD-50113,2025-03-29 15:50:00,M107,Veg Hakka Noodles,Main Course,219.0,3,657.0,OUT-BBSR,,,45,10
ORD-50114,2025-03-18 11:34:00,M111,Falafel Wrap,Sides,189.0,2,378.0,OUT-BLR,PAT-2012,UPI,22,8
ORD-50115,2025-01-27 16:44:00,M111,Falafel Wrap,Sides,189.0,2,378.0,OUT-BLR,PAT-2021,,22,8
ORD-50116,2025-02-09 09:04:00,M102,Peri-Peri Fries,Sides,129.0,5,645.0,OUT-BLR,PAT-2022,Card,90,20
ORD-50117,2025-02-01 09:34:00,M104,Margherita Wood-Fired Pizza,Main Course,299.0,5,1495.0,OUT-BLR,PAT-2007,upi,25,8
ORD-50118,2025-02-11 11:47:00,M101,Paneer Tikka Skewers,Starters,249.0,5,1245.0,OUT-BLR,PAT-2025,cash,40,10
ORD-50119,2025-01-02 08:45:00,M109,Loaded Nachos Platter,starters,269.0,2,538.0,OUT-BLR,PAT-2019,Cash,5,10
ORD-50120,2025-01-15 14:08:00,M103,Butter Chicken Bowl,Main Course,329.0,5,1645.0,OUT-BBSR,,UPI,35,8
ORD-50121,2025/03/05 19:08,M105,Mango Basil Cooler,Beverages,149.0,3,447.0,OUT-BBSR,PAT-2017,cash,70,15
ORD-50122,2025-01-06 17:33:00,M103,Butter Chicken Bowl,Main Course,329.0,4,1316.0,OUT-KOL,,Wallet,35,8
ORD-50123,2025-01-01 18:15:00,M106,Choco Lava Cake,Desserts,179.0,1,179.0,OUT-BLR,PAT-2013,cash,8,12
ORD-50124,2025-03-14 18:11:00,M108,Cold Brew Coffee,beverages,159.0,3,477.0,OUT-BLR,PAT-2020,card,60,15
ORD-50125,2025-03-13 19:59:00,M104,Margherita Wood-Fired Pizza,Main Course,299.0,4,1196.0,OUT-BLR,PAT-2002,card,25,8
ORD-50126,2025-02-17 13:39:00,M109,Loaded Nachos Platter,starters,269.0,3,807.0,OUT-BBSR,PAT-2013,,5,10
ORD-50127,2025-01-16 17:31:00,M106,Choco Lava Cake,Desserts,179.0,2,358.0,OUT-KOL,PAT-2005,,8,12
ORD-50128,2025-01-11 18:00:00,M111,Falafel Wrap,Sides,189.0,1,189.0,OUT-BLR,PAT-2014,Card,22,8
ORD-50129,2025-02-23 13:28:00,M110,Classic Cheese Burger,Main Course,239.0,2,478.0,OUT-KOL,,card,30,8
ORD-50130,2025-02-13 12:32:00,M101,Paneer Tikka Skewers,Starters,249.0,5,1245.0,OUT-KOL,PAT-2019,Cash,40,10
ORD-50131,2025-02-15 18:52:00,M106,Choco Lava Cake,Desserts,179.0,4,716.0,OUT-KOL,PAT-2025,,8,12
ORD-50132,2025-01-09 16:18:00,M101,Paneer Tikka Skewers,Starters,249.0,2,498.0,OUT-BBSR,PAT-2015,UPI,40,10
ORD-50133,2025-03-26 08:40:00,M107,Veg Hakka Noodles,Main Course,219.0,5,1095.0,OUT-BBSR,PAT-2018,upi,45,10
ORD-50134,2025-03-09 13:18:00,M106,Choco Lava Cake,Desserts,179.0,1,179.0,OUT-BLR,,cash,8,12
ORD-50135,2025-02-17 15:24:00,M102,Peri-Peri Fries,Sides,129.0,1,129.0,OUT-BLR,PAT-2022,card,90,20
ORD-50136,2025/03/19 14:15,M109,Loaded Nachos Platter,starters,269.0,4,1076.0,OUT-KOL,PAT-2006,Cash,5,10
ORD-50137,2025-03-10 13:07:00,M107,Veg Hakka Noodles,Main Course,219.0,3,657.0,OUT-BBSR,PAT-2006,card,45,10
ORD-50138,2025-02-07 20:42:00,M112,Blueberry Cheesecake,Desserts,199.0,4,796.0,OUT-BLR,PAT-2010,,15,6
ORD-50139,2025-03-29 22:56:00,M103,Butter Chicken Bowl,Main Course,329.0,4,1316.0,OUT-KOL,,Wallet,35,8
ORD-50140,2025-02-08 12:27:00,M101,Paneer Tikka Skewers,Starters,249.0,3,747.0,OUT-KOL,PAT-2010,Wallet,40,10
ORD-50141,01-02-2025 19:08:00,M107,Veg Hakka Noodles,Main Course,219.0,2,438.0,OUT-BLR,PAT-2024,Wallet,45,10
ORD-50142,2025-01-12 13:04:00,M108,Cold Brew Coffee,beverages,159.0,2,318.0,OUT-BBSR,PAT-2007,upi,60,15
ORD-50143,2025-02-05 13:42:00,M112,Blueberry Cheesecake,Desserts,199.0,5,995.0,OUT-KOL,PAT-2015,Card,15,6
ORD-50144,2025-02-04 12:40:00,M108,Cold Brew Coffee,beverages,159.0,2,318.0,OUT-BBSR,PAT-2016,upi,60,15
ORD-50145,2025-01-16 11:49:00,M106,Choco Lava Cake,Desserts,179.0,5,895.0,OUT-BBSR,PAT-2016,Cash,8,12
ORD-50146,2025-03-25 21:40:00,M108,Cold Brew Coffee,beverages,159.0,5,795.0,OUT-KOL,PAT-2001,upi,60,15
ORD-50147,2025-03-17 16:18:00,M110,Classic Cheese Burger,Main Course,239.0,1,239.0,OUT-BBSR,PAT-2003,Cash,30,8
ORD-50148,2025-02-12 10:43:00,M110,Classic Cheese Burger,Main Course,239.0,4,956.0,OUT-BLR,PAT-2004,Card,30,8
ORD-50149,2025-01-09 09:02:00,M106,Choco Lava Cake,Desserts,179.0,5,895.0,OUT-BBSR,PAT-2017,card,8,12
ORD-50150,2025-02-15 10:42:00,M111,Falafel Wrap,Sides,189.0,1,189.0,OUT-BBSR,PAT-2019,card,22,8
ORD-50151,2025/03/27 22:33,M105,Mango Basil Cooler,Beverages,149.0,5,745.0,OUT-BLR,PAT-2008,Wallet,70,15
ORD-50152,2025-01-19 17:54:00,M109,Loaded Nachos Platter,starters,269.0,1,269.0,OUT-BBSR,PAT-2007,UPI,5,10
ORD-50153,2025-02-12 11:40:00,M112,Blueberry Cheesecake,Desserts,199.0,1,199.0,OUT-BLR,PAT-2019,Card,15,6
ORD-50154,2025-02-24 17:55:00,M105,Mango Basil Cooler,Beverages,149.0,4,596.0,OUT-KOL,PAT-2011,Cash,70,15
ORD-50155,2025-02-14 09:14:00,M108,Cold Brew Coffee,beverages,159.0,2,318.0,OUT-BBSR,PAT-2001,card,60,15
ORD-50156,2025-02-22 15:43:00,M104,Margherita Wood-Fired Pizza,Main Course,299.0,3,897.0,OUT-KOL,PAT-2005,,25,8
ORD-50157,2025-01-14 16:57:00,M107,Veg Hakka Noodles,Main Course,219.0,4,876.0,OUT-BLR,PAT-2002,cash,45,10
ORD-50158,2025-03-27 14:29:00,M112,Blueberry Cheesecake,Desserts,199.0,4,796.0,OUT-BLR,PAT-2013,Cash,15,6
ORD-50159,2025-03-30 10:53:00,M109,Loaded Nachos Platter,starters,269.0,5,1345.0,OUT-BBSR,PAT-2015,UPI,5,10
ORD-50160,2025-03-19 20:58:00,M101,Paneer Tikka Skewers,Starters,249.0,3,747.0,OUT-BLR,PAT-2004,Cash,40,10
ORD-50161,03-03-2025 11:11:00,M110,Classic Cheese Burger,Main Course,239.0,5,1195.0,OUT-BBSR,PAT-2011,upi,30,8
ORD-50162,2025-01-18 12:05:00,M101,Paneer Tikka Skewers,Starters,249.0,5,1245.0,OUT-BBSR,PAT-2025,Cash,40,10
ORD-50163,2025-01-10 20:58:00,M105,Mango Basil Cooler,Beverages,149.0,4,596.0,OUT-BLR,PAT-2021,cash,70,15
ORD-50164,2025-03-27 14:31:00,M111,Falafel Wrap,Sides,189.0,1,189.0,OUT-KOL,PAT-2014,Cash,22,8
ORD-50165,2025-02-14 09:15:00,M108,Cold Brew Coffee,beverages,159.0,1,159.0,OUT-BBSR,,,60,15
ORD-50166,2025/01/26 22:22,M104,Margherita Wood-Fired Pizza,Main Course,299.0,2,598.0,OUT-BBSR,PAT-2011,Card,25,8
ORD-50167,2025-01-22 10:22:00,M108,Cold Brew Coffee,beverages,159.0,3,477.0,OUT-BBSR,PAT-2010,Wallet,60,15
ORD-50168,2025-02-10 10:26:00,M108,Cold Brew Coffee,beverages,159.0,1,159.0,OUT-KOL,PAT-2008,upi,60,15
ORD-50169,2025-01-16 21:18:00,M112,Blueberry Cheesecake,Desserts,199.0,3,597.0,OUT-KOL,PAT-2023,Wallet,15,6
ORD-50170,2025-03-15 15:27:00,M105,Mango Basil Cooler,Beverages,149.0,1,149.0,OUT-BBSR,PAT-2012,Card,70,15
ORD-50171,2025-01-09 10:42:00,M102,Peri-Peri Fries,Sides,129.0,4,516.0,OUT-BBSR,PAT-2017,upi,90,20
ORD-50172,2025-02-09 08:07:00,M103,Butter Chicken Bowl,Main Course,329.0,3,987.0,OUT-BBSR,PAT-2018,cash,35,8
ORD-50173,2025-01-12 19:12:00,M103,Butter Chicken Bowl,Main Course,329.0,2,658.0,OUT-BLR,PAT-2015,upi,35,8
ORD-50174,2025-03-15 09:51:00,M104,Margherita Wood-Fired Pizza,Main Course,299.0,3,897.0,OUT-KOL,PAT-2012,Card,25,8
ORD-50175,2025-03-17 21:20:00,M109,Loaded Nachos Platter,starters,269.0,1,269.0,OUT-BLR,PAT-2008,UPI,5,10
ORD-50176,2025-01-02 08:06:00,M103,Butter Chicken Bowl,Main Course,329.0,5,1645.0,OUT-KOL,PAT-2017,,35,8
ORD-50177,2025-03-11 11:06:00,M102,Peri-Peri Fries,Sides,129.0,5,645.0,OUT-KOL,PAT-2023,,90,20
ORD-50178,2025-02-19 12:08:00,M104,Margherita Wood-Fired Pizza,Main Course,299.0,1,299.0,OUT-BLR,PAT-2008,,25,8
ORD-50179,2025-03-18 16:17:00,M106,Choco Lava Cake,Desserts,179.0,5,895.0,OUT-BBSR,PAT-2021,upi,8,12
ORD-50180,2025-02-18 18:26:00,M103,Butter Chicken Bowl,Main Course,329.0,3,987.0,OUT-BBSR,PAT-2020,Wallet,35,8
ORD-50181,2025/02/14 08:12,M102,Peri-Peri Fries,Sides,129.0,4,516.0,OUT-BLR,PAT-2010,UPI,90,20
ORD-50182,2025-03-11 19:31:00,M109,Loaded Nachos Platter,starters,269.0,2,538.0,OUT-KOL,PAT-2017,upi,5,10
ORD-50183,2025-02-05 10:35:00,M110,Classic Cheese Burger,Main Course,239.0,2,478.0,OUT-BLR,PAT-2025,card,30,8
ORD-50184,2025-03-25 18:02:00,M105,Mango Basil Cooler,Beverages,149.0,5,745.0,OUT-KOL,,UPI,70,15
ORD-50185,2025-01-04 16:10:00,M101,Paneer Tikka Skewers,Starters,249.0,4,996.0,OUT-BLR,PAT-2015,Cash,40,10
ORD-50186,2025-02-23 15:17:00,M112,Blueberry Cheesecake,Desserts,199.0,1,199.0,OUT-BLR,PAT-2018,upi,15,6
ORD-50187,2025-02-16 14:51:00,M104,Margherita Wood-Fired Pizza,Main Course,299.0,1,299.0,OUT-BLR,PAT-2006,Wallet,25,8
ORD-50188,2025-01-22 20:02:00,M106,Choco Lava Cake,Desserts,179.0,5,895.0,OUT-KOL,PAT-2018,Wallet,8,12
ORD-50189,2025-03-02 11:54:00,M102,Peri-Peri Fries,Sides,129.0,2,258.0,OUT-BBSR,PAT-2012,card,90,20
ORD-50190,2025-03-01 18:20:00,M110,Classic Cheese Burger,Main Course,239.0,1,239.0,OUT-BBSR,PAT-2007,card,30,8
ORD-50191,2025-03-23 22:09:00,M105,Mango Basil Cooler,Beverages,149.0,2,298.0,OUT-BLR,PAT-2015,,70,15
ORD-50192,2025-03-22 10:06:00,M104,Margherita Wood-Fired Pizza,Main Course,299.0,3,897.0,OUT-KOL,PAT-2002,Cash,25,8
ORD-50193,2025-03-29 17:17:00,M101,Paneer Tikka Skewers,Starters,249.0,2,498.0,OUT-KOL,PAT-2007,Wallet,40,10
ORD-50194,2025-02-13 21:26:00,M105,Mango Basil Cooler,Beverages,149.0,4,596.0,OUT-KOL,PAT-2022,UPI,70,15
ORD-50195,2025-01-10 10:07:00,M101,Paneer Tikka Skewers,Starters,249.0,3,747.0,OUT-BLR,,,40,10
