id,product_id,customer_id,quantity,sales_amount,sale_date
33,OFF-BI-10001525,TB-21520,6,6.858,2015-09-17
34,OFF-AR-10001683,TB-21520,2,15.76,2015-09-17
35,OFF-PA-10000249,MA-17560,3,29.472,2017-10-19
36,TEC-PH-10004977,GH-14485,7,1097.544,2016-12-08
37,FUR-FU-10003664,GH-14485,5,190.92,2016-12-08
38,OFF-EN-10002986,SN-20710,9,113.328,2015-12-27
39,FUR-BO-10002545,SN-20710,3,532.3992,2015-12-27
40,FUR-CH-10004218,SN-20710,3,212.058,2015-12-27
41,TEC-PH-10000486,SN-20710,4,371.168,2015-12-27
42,TEC-PH-10004093,LC-16930,4,147.168,2017-09-10
43,OFF-ST-10003479,RA-19885,2,77.88,2016-07-17
44,OFF-ST-10003282,ES-14080,2,95.616,2017-09-19
45,TEC-AC-10000171,ON-18715,2,45.98,2016-03-11
46,OFF-BI-10003291,ON-18715,2,17.46,2016-03-11
47,OFF-ST-10001713,PO-18865,4,211.96,2014-10-20
48,TEC-AC-10002167,LH-16900,3,45.0,2016-06-20
49,TEC-PH-10003988,LH-16900,2,21.8,2016-06-20
50,OFF-BI-10004410,DP-13000,6,38.22,2015-04-18
51,OFF-LA-10002762,DP-13000,6,75.18,2015-04-18
52,FUR-FU-10001706,DP-13000,2,6.16,2015-04-18
53,FUR-CH-10003061,DP-13000,1,89.99,2015-04-18
54,OFF-FA-10000304,JM-15265,7,15.26,2016-12-11
55,TEC-PH-10002447,JM-15265,5,1029.95,2016-12-11
56,OFF-ST-10000604,TB-21055,6,208.56,2016-06-17
57,OFF-PA-10001569,TB-21055,5,32.4,2016-06-17
58,FUR-CH-10003968,TB-21055,5,319.41,2016-06-17
59,OFF-PA-10000587,TB-21055,2,14.56,2016-06-17
60,TEC-AC-10002167,TB-21055,2,30.0,2016-06-17
61,OFF-BI-10001460,TB-21055,4,48.48,2016-06-17
62,OFF-AR-10001868,TB-21055,1,1.68,2016-06-17
63,TEC-AC-10004633,KM-16720,2,13.98,2015-11-24
64,OFF-BI-10001078,KM-16720,6,25.824,2015-11-24
65,OFF-PA-10003892,KM-16720,3,146.73,2015-11-24
66,FUR-FU-10000397,KM-16720,4,79.76,2015-11-24
67,FUR-CH-10001146,PS-18970,5,213.115,2015-04-30
68,OFF-AR-10002671,BS-11590,8,1113.024,2014-12-05
69,TEC-PH-10002726,BS-11590,4,167.968,2014-12-05
70,OFF-PA-10000482,KD-16270,2,75.88,2016-06-04
71,OFF-BI-10004654,HM-14980,1,4.616,2016-09-18
72,OFF-PA-10004675,TB-21520,3,19.05,2017-09-14
73,FUR-CH-10000513,JE-15745,8,831.936,2015-04-26
74,FUR-FU-10003708,JE-15745,2,97.04,2015-04-26
75,OFF-ST-10004123,JE-15745,1,72.784,2015-04-26
76,OFF-BI-10004182,KB-16600,3,1.248,2017-12-09
77,FUR-FU-10000260,KB-16600,3,9.708,2017-12-09
78,OFF-ST-10000615,KB-16600,3,27.24,2017-12-09
79,FUR-FU-10003194,JE-15745,5,19.3,2014-11-26
80,OFF-AP-10002118,SC-20770,1,208.16,2016-06-12
81,OFF-BI-10002309,SC-20770,3,16.74,2016-06-12
82,OFF-AR-10002053,DN-13690,5,14.9,2014-10-12
83,OFF-ST-10002370,DN-13690,1,21.39,2014-10-12
84,OFF-EN-10000927,JC-16105,7,200.984,2015-09-03
85,OFF-ST-10003656,CS-12400,3,230.376,2017-11-13
86,FUR-CH-10000863,PO-18865,2,301.96,2017-05-28
87,TEC-AC-10001998,PG-18895,1,19.99,2017-10-26
88,OFF-LA-10000134,PG-18895,2,6.16,2017-10-26
89,OFF-ST-10003442,GM-14455,7,158.368,2016-04-05
90,OFF-AR-10004930,JS-15685,3,20.1,2016-09-17
91,TEC-PH-10004093,JS-15685,2,73.584,2016-09-17
92,OFF-PA-10000304,JS-15685,1,6.48,2016-09-17
93,OFF-PA-10003177,KB-16315,2,12.96,2015-01-31
94,FUR-FU-10003799,KB-16315,3,53.34,2015-01-31
95,OFF-BI-10002852,KB-16315,2,32.96,2015-01-31
96,OFF-BI-10004738,RB-19705,1,5.682,2017-11-06
97,FUR-FU-10000629,PN-18775,7,96.53,2017-11-09
98,OFF-BI-10001721,KD-16345,3,51.312,2017-06-17
99,OFF-AP-10000358,ER-13855,6,77.88,2016-09-06
100,OFF-PA-10003256,RB-19465,7,64.624,2016-08-29
101,TEC-AC-10001767,RB-19465,3,95.976,2016-08-29
102,OFF-BI-10002609,RB-19465,3,1.788,2016-08-29
103,OFF-PA-10004040,GZ-14470,4,23.92,2016-12-01
104,TEC-AC-10001552,LC-16870,6,238.896,2015-11-13
105,FUR-FU-10004006,LC-16870,3,102.36,2015-11-13
106,OFF-BI-10002794,LC-16870,3,36.882,2015-11-13
107,TEC-AC-10003499,JM-15250,8,74.112,2017-11-23
108,TEC-PH-10002844,JM-15250,1,27.992,2017-11-23
109,OFF-AR-10000390,JM-15250,1,3.304,2017-11-23
110,TEC-AC-10000844,PA-19060,5,339.96,2015-10-15
111,FUR-FU-10001934,CV-12805,2,41.96,2017-12-25
112,OFF-AR-10000380,CL-12565,2,75.96,2016-11-03
113,OFF-BI-10003981,CL-12565,6,27.24,2016-11-03
114,OFF-FA-10000621,RC-19960,14,40.096,2014-08-25
115,OFF-EN-10002600,RC-19960,2,4.72,2014-08-25
116,OFF-PA-10004965,RC-19960,3,23.976,2014-08-25
117,OFF-EN-10002504,RC-19960,6,130.464,2014-08-25
118,FUR-TA-10001768,DK-13090,3,787.53,2015-03-02
119,OFF-BI-10003650,GG-14650,1,157.794,2015-04-05
120,FUR-FU-10002157,SC-20725,3,47.04,2016-06-12
121,OFF-BI-10003910,SC-20725,4,30.84,2016-06-12
122,OFF-ST-10000777,SC-20725,6,226.56,2016-06-12
123,OFF-EN-10002500,SC-20725,9,115.02,2016-06-12
124,TEC-PH-10003875,SC-20725,7,68.04,2016-06-12
125,FUR-CH-10004063,AD-10180,3,600.558,2014-12-26
126,FUR-TA-10004534,PF-19165,6,617.7,2014-09-20
127,OFF-BI-10003274,TS-21610,2,2.388,2017-11-05
128,OFF-ST-10002974,TS-21610,7,243.992,2017-11-05
129,FUR-CH-10001146,LS-16975,2,81.424,2016-11-06
130,FUR-FU-10003773,LS-16975,3,238.56,2016-11-06
131,TEC-PH-10002293,DW-13585,5,59.97,2017-02-02
132,OFF-PA-10002377,DW-13585,2,78.304,2017-02-02
133,OFF-FA-10002780,DW-13585,9,21.456,2017-02-02
134,OFF-PA-10001804,LC-16885,3,20.04,2016-10-13
135,OFF-PA-10001736,LC-16885,1,35.44,2016-10-13
136,OFF-AR-10001149,LC-16885,4,11.52,2016-10-13
137,OFF-FA-10002988,LC-16885,2,4.02,2016-10-13
138,OFF-BI-10004781,LC-16885,3,76.176,2016-10-13
139,OFF-SU-10001218,LC-16885,6,65.88,2016-10-13
140,FUR-FU-10001706,LC-16885,14,43.12,2016-10-13
141,FUR-FU-10004848,JD-15895,2,82.8,2016-09-05
142,OFF-AR-10000940,SH-19975,3,8.82,2017-09-18
143,OFF-EN-10004030,SH-19975,3,10.86,2017-09-18
144,OFF-PA-10004327,SH-19975,3,143.7,2017-09-18
145,OFF-AP-10001058,SG-20080,3,839.43,2017-12-22
146,OFF-ST-10003656,HA-14920,7,671.93,2015-09-07
147,FUR-FU-10000521,MG-17680,4,93.888,2014-10-22
148,TEC-PH-10000215,JE-16165,11,384.45,2016-12-05
149,TEC-PH-10001448,JE-16165,3,149.97,2016-12-05
150,FUR-CH-10000454,JE-16165,8,1951.84,2016-12-05
151,OFF-BI-10002735,JE-16165,5,171.55,2016-12-05
152,OFF-AP-10000326,TW-21025,5,157.92,2016-03-13
153,TEC-PH-10001254,TW-21025,2,203.184,2016-03-13
154,OFF-PA-10001950,SP-20650,7,58.38,2015-05-31
155,OFF-PA-10002254,SP-20650,4,105.52,2015-05-31
156,OFF-ST-10001590,SP-20650,6,80.88,2015-05-31
157,OFF-AR-10001547,NK-18490,3,6.63,2015-05-28
158,FUR-CH-10004063,DB-13060,2,457.568,2014-03-01
159,OFF-LA-10002475,NP-18670,2,14.62,2016-11-20
160,TEC-PH-10004536,NP-18670,7,944.93,2016-11-20
161,OFF-PA-10002751,TT-21070,1,5.98,2016-05-11
162,TEC-AC-10003657,EM-13960,2,54.384,2015-12-28
163,OFF-EN-10001990,RD-19900,5,28.4,2016-11-16
164,OFF-BI-10004002,MJ-17740,2,27.68,2016-11-07
165,OFF-AR-10004441,BM-11140,3,9.936,2014-09-08
166,TEC-MA-10000822,BM-11140,8,8159.952,2014-09-08
167,OFF-ST-10000991,BM-11140,3,275.928,2014-09-08
168,FUR-CH-10004287,BM-11140,9,1740.06,2014-09-08
169,OFF-AR-10002656,BM-11140,6,32.064,2014-09-08
170,OFF-AP-10002518,BM-11140,5,177.98,2014-09-08
171,TEC-PH-10003931,BM-11140,3,143.976,2014-09-08
172,OFF-PA-10000659,CS-12130,3,20.94,2014-08-05
173,OFF-PA-10001144,CS-12130,2,110.96,2014-08-05
174,FUR-CH-10003817,CS-12130,7,340.144,2014-08-05
175,OFF-AP-10000891,JB-15400,2,52.448,2014-09-14
176,OFF-LA-10003148,JB-15400,4,20.16,2014-09-14
177,OFF-AP-10002684,SJ-20500,4,97.264,2017-04-21
178,FUR-CH-10004698,JE-15745,7,396.802,2015-11-21
179,OFF-SU-10002189,JE-15745,5,15.88,2015-11-21
180,OFF-AR-10001940,JK-15640,1,3.28,2015-12-15
181,OFF-ST-10003455,DK-13150,2,24.816,2014-12-05
182,TEC-AC-10004659,DK-13150,7,408.744,2014-12-05
183,TEC-PH-10003273,RM-19675,4,503.96,2014-11-19
184,TEC-PH-10004896,RM-19675,5,149.95,2014-11-19
185,TEC-AC-10002345,RM-19675,2,29.0,2014-11-19
186,OFF-BI-10001890,SK-19990,2,7.16,2016-11-28
187,TEC-AC-10002323,FM-14290,8,176.8,2014-08-26
188,OFF-ST-10001328,AM-10360,3,37.224,2016-07-16
189,OFF-PA-10001950,AM-10360,3,20.016,2016-07-16
190,FUR-BO-10002613,MP-17470,4,899.136,2015-10-12
191,TEC-PH-10001552,MP-17470,6,71.76,2015-10-12
192,OFF-PA-10000061,MP-17470,8,51.84,2015-10-12
193,FUR-BO-10002545,MP-17470,3,626.352,2015-10-12
194,OFF-AR-10003514,MP-17470,5,19.9,2015-10-12
195,OFF-EN-10001509,MZ-17515,7,14.28,2015-10-31
196,OFF-AR-10004685,CB-12025,2,7.408,2014-03-21
197,OFF-AR-10004027,CB-12025,3,6.048,2014-03-21
198,OFF-ST-10001414,VM-21685,3,46.26,2017-11-06
199,OFF-BI-10000343,FH-14365,2,2.946,2017-07-06
200,OFF-PA-10002749,FH-14365,3,16.056,2017-07-06
201,OFF-PA-10002666,MB-17305,3,21.744,2017-06-24
202,FUR-TA-10004289,BS-11755,2,218.75,2014-08-03
203,OFF-AP-10003622,BS-11755,1,2.6,2014-08-03
204,OFF-AP-10003217,LC-17140,2,66.284,2017-12-17
205,FUR-FU-10002960,HK-14890,7,35.168,2017-06-03
206,TEC-PH-10001918,LE-16810,4,444.768,2017-12-09
207,OFF-ST-10000642,JH-15985,4,83.92,2017-12-01
208,TEC-PH-10001700,JH-15985,2,131.98,2017-12-01
209,OFF-BI-10003274,JH-15985,4,15.92,2017-12-01
210,OFF-FA-10000134,JH-15985,9,52.29,2017-12-01
211,OFF-ST-10001522,JH-15985,1,91.99,2017-12-01
212,TEC-AC-10001266,MS-17980,2,20.8,2015-02-09
213,OFF-LA-10004544,VW-21775,2,23.68,2015-01-02
214,FUR-BO-10004695,VW-21775,5,452.45,2015-01-02
215,TEC-PH-10002844,VW-21775,3,62.982,2015-01-02
216,TEC-MA-10000864,VW-21775,9,1188.0,2015-01-02
217,TEC-AC-10000109,VW-21775,2,89.584,2015-01-02
218,OFF-ST-10001328,JH-15910,6,93.06,2016-10-28
219,TEC-PH-10002563,JH-15910,3,302.376,2016-10-28
220,OFF-FA-10000585,JB-15925,2,5.584,2015-12-24
221,OFF-PA-10004000,JB-15925,6,22.704,2015-12-24
222,OFF-BI-10002852,JB-15925,4,19.776,2015-12-24
223,FUR-FU-10000087,JB-15925,4,72.704,2015-12-24
224,TEC-MA-10001148,JB-15925,4,479.988,2015-12-24
225,OFF-AR-10001958,JB-15925,2,27.168,2015-12-24
226,OFF-AR-10001026,DS-13180,1,2.2,2015-08-09
227,FUR-TA-10003748,DS-13180,5,622.45,2015-08-09
228,OFF-ST-10002485,DS-13180,1,21.98,2015-08-09
229,FUR-CH-10004860,VD-21670,2,161.568,2015-02-28
230,FUR-CH-10004477,VD-21670,8,389.696,2015-02-28
231,OFF-BI-10001679,EA-14035,7,18.648,2014-09-13
232,FUR-TA-10001705,CS-12400,2,233.86,2017-04-07
233,FUR-TA-10003473,CS-12400,3,620.6145,2017-04-07
234,OFF-BI-10001679,CS-12400,2,5.328,2017-04-07
235,FUR-FU-10004017,CS-12400,3,258.072,2017-04-07
236,TEC-AC-10003832,CS-12400,3,617.976,2017-04-07
237,OFF-PA-10002479,DB-13120,2,10.56,2017-11-12
238,OFF-PA-10003349,KL-16645,5,25.92,2016-06-04
239,FUR-FU-10000576,KL-16645,5,419.68,2016-06-04
240,FUR-FU-10004351,KL-16645,3,11.688,2016-06-04
241,TEC-PH-10000011,KL-16645,2,31.984,2016-06-04
242,FUR-TA-10002607,KL-16645,5,177.225,2016-06-04
243,FUR-FU-10002505,KL-16645,3,4.044,2016-06-04
244,OFF-AR-10004685,KL-16645,2,7.408,2016-06-04
245,FUR-CH-10004063,DW-13480,7,2001.86,2014-06-01
246,OFF-ST-10002276,DW-13480,2,166.72,2014-06-01
247,OFF-PA-10004082,DW-13480,6,47.88,2014-06-01
248,OFF-AP-10002945,DW-13480,5,1503.25,2014-06-01
249,OFF-PA-10000061,DW-13480,4,25.92,2014-06-01
250,FUR-CH-10002965,LH-17155,2,321.568,2016-12-10
251,OFF-PA-10004569,KC-16540,1,7.61,2016-09-11
252,TEC-AC-10003832,KC-16540,13,3347.37,2016-09-11
253,OFF-ST-10001228,DL-13315,6,80.58,2016-12-10
254,OFF-EN-10003296,DL-13315,4,361.92,2016-12-10
255,FUR-FU-10002505,DR-12880,9,12.132,2015-11-28
256,OFF-ST-10004804,DR-12880,2,82.368,2015-11-28
257,OFF-ST-10001590,DR-12880,5,53.92,2015-11-28
258,TEC-PH-10001580,DR-12880,6,647.904,2015-11-28
259,TEC-AC-10000290,CC-12670,3,20.37,2017-12-01
260,OFF-ST-10002790,CC-12670,3,221.55,2017-12-01
261,OFF-BI-10003460,CC-12670,5,17.52,2017-12-01
262,OFF-AP-10002203,Dl-13600,2,1.624,2017-06-08
263,TEC-MA-10000822,SB-20290,3,3059.982,2014-09-19
264,TEC-MA-10003353,SB-20290,7,2519.958,2014-09-19
265,TEC-PH-10001433,RC-19825,4,328.224,2016-06-06
266,TEC-AC-10004469,AH-10210,2,79.9,2015-11-10
267,OFF-AR-10003602,CB-12535,3,14.016,2017-06-16
268,OFF-FA-10003472,PG-18895,6,7.56,2016-01-22
269,OFF-ST-10004180,CA-12310,1,37.208,2017-12-09
270,OFF-EN-10004386,CA-12310,3,57.576,2017-12-09
271,OFF-ST-10003208,KH-16690,4,725.84,2017-12-28
272,TEC-AC-10003628,HA-14920,7,209.93,2015-07-30
273,FUR-FU-10003274,HA-14920,3,5.28,2015-07-30
274,OFF-BI-10002557,HA-14920,3,10.92,2015-07-30
275,OFF-PA-10002615,BB-10990,2,8.82,2017-09-16
276,OFF-AR-10001427,BB-10990,1,5.98,2017-09-16
277,OFF-PA-10000673,AG-10495,2,11.648,2017-10-13
278,OFF-PA-10004470,AG-10495,4,18.176,2017-10-13
279,OFF-ST-10000876,AG-10495,6,59.712,2017-10-13
280,OFF-LA-10002043,AG-10495,3,24.84,2017-10-13
281,OFF-BI-10004967,SC-20725,5,2.08,2015-09-26
282,TEC-PH-10001760,SC-20725,7,1114.4,2015-09-26
283,FUR-TA-10002903,JO-15280,5,1038.84,2015-11-02
284,OFF-PA-10000474,TB-21520,5,141.76,2015-09-26
285,TEC-AC-10001956,TB-21520,5,239.8,2015-09-26
286,OFF-PA-10004100,TB-21520,6,31.104,2015-09-26
287,OFF-BI-10000778,AH-10195,7,254.058,2016-12-18
288,OFF-AP-10002684,AH-10195,2,194.528,2016-12-18
289,OFF-SU-10000646,AH-10195,5,961.48,2016-12-18
290,OFF-FA-10002983,NZ-18565,7,19.096,2016-11-20
291,OFF-LA-10004689,NZ-18565,8,18.496,2016-11-20
292,TEC-AC-10002001,NZ-18565,2,255.984,2016-11-20
293,FUR-BO-10004709,NZ-18565,3,86.97,2016-11-20
294,FUR-FU-10004091,KL-16555,8,300.416,2014-12-26
295,FUR-CH-10001891,KL-16555,3,230.352,2014-12-26
296,FUR-FU-10002918,KL-16555,3,218.352,2014-12-26
297,OFF-BI-10004593,KL-16555,5,78.6,2014-12-26
298,OFF-FA-10004854,KL-16555,3,27.552,2014-12-26
299,OFF-PA-10002105,JD-15895,5,32.4,2016-10-28
300,OFF-ST-10002756,JD-15895,8,1082.48,2016-10-28
301,OFF-PA-10004243,JD-15895,3,56.91,2016-10-28
302,FUR-FU-10001861,JD-15895,4,77.6,2016-10-28
303,OFF-BI-10002706,JD-15895,1,14.28,2016-10-28
304,FUR-TA-10002533,JH-15910,3,219.075,2017-11-19
305,FUR-FU-10002671,AS-10225,2,26.8,2015-05-04
306,OFF-AR-10003651,KB-16600,3,9.84,2014-12-30
307,OFF-BI-10001072,CR-12625,3,45.48,2014-06-01
308,OFF-AR-10002135,CR-12625,6,289.2,2014-06-01
309,OFF-AR-10002804,SH-20395,1,4.89,2017-04-15
310,FUR-FU-10001918,BP-11185,4,15.136,2016-09-12
311,FUR-CH-10004086,BP-11185,2,466.768,2016-09-12
312,FUR-FU-10001756,BP-11185,1,15.232,2016-09-12
313,OFF-LA-10000634,BP-11185,3,6.264,2016-09-12
314,FUR-FU-10001588,TS-21205,3,87.54,2014-09-27
315,TEC-PH-10002398,AG-10525,2,178.384,2014-08-09
316,OFF-PA-10001937,AG-10525,3,15.552,2014-08-09
317,OFF-AR-10003373,SP-20860,4,99.136,2014-12-28
318,FUR-CH-10002602,NM-18445,1,135.882,2014-11-04
319,TEC-MA-10002927,NM-18445,2,3991.98,2014-11-04
320,TEC-PH-10004093,NM-18445,6,275.94,2014-11-04
321,TEC-AC-10000892,NM-18445,4,360.0,2014-11-04
322,OFF-ST-10002974,NM-18445,1,43.57,2014-11-04
323,OFF-FA-10000624,FA-14230,2,7.16,2014-09-19
324,OFF-BI-10004593,GK-14620,6,251.52,2016-04-23
325,TEC-AC-10001908,GK-14620,1,99.99,2016-04-23
326,FUR-FU-10001967,DJ-13510,1,15.992,2017-11-03
327,TEC-PH-10003645,PO-18850,3,290.898,2016-08-30
328,OFF-ST-10000675,PO-18850,2,54.224,2016-08-30
329,FUR-CH-10003312,PO-18850,4,786.744,2016-08-30
330,OFF-LA-10001074,PO-18850,10,100.24,2016-08-30
331,OFF-BI-10001524,PO-18850,6,37.764,2016-08-30
332,TEC-PH-10004614,JL-15850,2,82.8,2016-04-25
333,OFF-BI-10001153,JL-15850,2,20.724,2016-04-25
334,OFF-BI-10001982,JL-15850,3,4.896,2016-04-25
335,OFF-BI-10001922,DB-13615,1,4.752,2015-09-01
336,TEC-CO-10001449,DB-13615,2,959.984,2015-09-01
337,OFF-BI-10004140,DB-13615,4,14.368,2015-09-01
338,OFF-BI-10003314,AC-10420,2,7.712,2014-07-12
339,FUR-TA-10004575,AC-10420,3,698.352,2014-07-12
340,OFF-FA-10000490,KL-16645,4,4.96,2015-06-22
341,OFF-AR-10000122,JD-15895,4,17.856,2014-04-13
342,OFF-BI-10003656,JD-15895,10,509.97,2014-04-13
343,OFF-FA-10002780,JD-15895,13,30.992,2014-04-13
344,TEC-PH-10000702,JD-15895,12,71.928,2014-04-13
345,OFF-ST-10000107,CS-12130,4,88.8,2015-12-20
346,TEC-PH-10002293,CC-12550,3,47.976,2017-06-15
347,OFF-AR-10004027,TD-20995,3,7.56,2017-07-08
348,OFF-PA-10000249,TD-20995,2,24.56,2017-07-08
349,OFF-AR-10001374,TD-20995,2,12.96,2017-07-08
350,TEC-AC-10000290,AB-10060,1,6.79,2016-09-01
351,OFF-PA-10001970,AB-10060,2,24.56,2016-09-01
352,OFF-BI-10002160,AB-10060,1,3.048,2016-09-01
353,OFF-PA-10001970,AB-10060,4,49.12,2016-09-01
354,OFF-BI-10004995,AB-10060,4,4355.168,2016-09-01
355,FUR-BO-10002268,JL-15505,6,388.704,2016-04-08
356,OFF-EN-10001137,JL-15505,2,8.26,2016-04-08
357,OFF-AR-10002399,JL-15505,4,17.04,2016-04-08
358,OFF-PA-10002713,JL-15505,5,34.4,2016-04-08
359,OFF-PA-10002666,HK-14890,5,36.24,2016-04-23
360,OFF-AP-10001124,VB-21745,8,647.84,2017-03-08
361,OFF-LA-10001158,VB-21745,2,20.7,2017-03-08
362,OFF-LA-10001158,KW-16435,2,20.7,2017-09-25
363,FUR-CH-10000785,KW-16435,3,488.646,2017-09-25
364,OFF-AR-10003732,KW-16435,2,5.56,2017-09-25
365,FUR-FU-10000023,KW-16435,8,47.12,2017-09-25
366,OFF-ST-10001713,JD-16060,4,211.96,2014-09-24
367,OFF-BI-10002412,MK-17905,4,23.2,2016-10-21
368,OFF-SU-10001225,MK-17905,2,7.36,2016-10-21
369,OFF-ST-10002406,MK-17905,7,104.79,2016-10-21
370,FUR-BO-10002545,MK-17905,4,1043.92,2016-10-21
371,OFF-PA-10002036,GT-14755,5,25.92,2017-05-29
372,OFF-ST-10002205,GT-14755,3,53.424,2017-05-29
373,OFF-BI-10001982,AG-10900,5,8.16,2014-07-23
374,TEC-AC-10003911,AG-10900,8,1023.936,2014-07-23
375,OFF-AR-10000658,AG-10900,1,9.24,2014-07-23
376,TEC-AC-10002076,AG-10900,10,479.04,2014-07-23
377,OFF-PA-10003039,MM-18280,4,99.136,2016-09-28
378,FUR-TA-10004915,AR-10405,7,1488.424,2017-08-27
379,OFF-AP-10000696,RA-19915,3,8.652,2015-04-28
380,OFF-ST-10003327,RA-19915,3,23.832,2015-04-28
381,OFF-BI-10000309,RA-19915,4,12.176,2015-04-28
382,OFF-PA-10004734,AS-10285,7,50.96,2016-10-28
383,OFF-BI-10002225,AS-10285,3,49.536,2016-10-28
384,TEC-AC-10004708,LA-16780,2,41.9,2015-06-26
385,FUR-TA-10000617,DO-13435,3,375.4575,2015-11-27
386,TEC-AC-10002335,DO-13435,3,83.976,2015-11-27
387,TEC-MA-10001681,DK-13225,4,482.34,2015-12-03
388,FUR-FU-10001935,DK-13225,1,2.96,2015-12-03
389,OFF-AR-10004757,NG-18430,1,2.624,2014-11-24
390,OFF-BI-10000050,MV-18190,4,23.36,2017-12-11
391,TEC-AC-10001998,MV-18190,2,39.98,2017-12-11
392,TEC-PH-10003012,JG-15115,2,246.384,2014-09-21
393,TEC-CO-10002313,JG-15115,3,1799.97,2014-09-21
394,OFF-BI-10003982,BP-11095,3,12.462,2014-06-07
395,OFF-BI-10004492,VP-21730,3,75.792,2017-06-30
396,OFF-ST-10000798,SS-20140,2,49.96,2017-10-17
397,OFF-PA-10002552,SS-20140,2,12.96,2017-10-17
398,OFF-SU-10002573,HP-14815,4,70.12,2015-10-31
399,OFF-ST-10001580,AG-10675,3,35.952,2016-09-08
400,FUR-BO-10004834,AG-10675,4,2396.2656,2016-09-08
401,OFF-ST-10000934,AG-10675,4,131.136,2016-09-08
402,TEC-AC-10000158,AG-10675,2,57.584,2016-09-08
403,OFF-PA-10001947,LF-17185,2,9.568,2014-12-24
404,OFF-AR-10003478,SP-20650,6,39.072,2014-04-16
405,OFF-AP-10004249,RF-19840,3,35.91,2017-12-24
406,TEC-AC-10000158,KH-16510,5,179.95,2017-12-08
407,TEC-CO-10004115,KH-16510,3,1199.976,2017-12-08
408,OFF-PA-10003724,KH-16510,5,27.15,2017-12-08
409,FUR-TA-10002041,KH-16510,7,1004.024,2017-12-08
410,OFF-PA-10002893,KH-16510,1,9.68,2017-12-08
411,OFF-LA-10003766,KH-16510,9,28.35,2017-12-08
412,OFF-PA-10001970,KH-16510,1,55.98,2017-12-08
413,FUR-BO-10001972,KH-16510,13,1336.829,2017-12-08
414,FUR-CH-10003956,KH-16510,2,113.568,2017-12-08
415,OFF-PA-10000157,KC-16675,7,139.86,2017-11-03
416,FUR-CH-10001891,KC-16675,4,307.136,2017-11-03
417,OFF-AR-10004344,CJ-12010,8,95.92,2017-06-24
418,FUR-CH-10004886,PB-19150,5,383.8,2016-04-14
419,OFF-PA-10003845,VB-21745,1,5.78,2017-11-06
420,OFF-AR-10001573,SP-20860,4,9.32,2017-03-04
421,OFF-EN-10000483,SP-20860,1,15.25,2017-03-04
422,TEC-AC-10004114,JE-15745,6,196.752,2014-06-22
423,FUR-FU-10004712,MP-17965,4,56.56,2017-10-19
424,OFF-ST-10000918,MP-17965,3,32.7,2017-10-19
425,FUR-CH-10000015,NF-18385,4,866.4,2017-08-21
426,FUR-FU-10003347,JM-15265,2,28.4,2017-11-23
427,OFF-BI-10001543,JM-15265,8,287.92,2017-11-23
428,TEC-MA-10000029,SD-20485,1,69.99,2014-09-12
429,OFF-AR-10000369,KH-16630,6,6.672,2017-10-01
430,OFF-BI-10004584,RB-19795,2,189.588,2016-04-15
431,TEC-AC-10004659,RB-19795,7,408.744,2016-04-15
432,TEC-AC-10004659,RB-19795,5,291.96,2016-04-15
433,OFF-ST-10000617,RB-19795,2,4.768,2016-04-15
434,OFF-ST-10003306,DB-13060,5,714.3,2016-06-06
