id,product_id,stock_level,reorder_point
281,FUR-FU-10003975,134,20
282,FUR-FU-10003976,21,20
283,FUR-FU-10003981,108,30
284,FUR-FU-10004006,141,30
285,FUR-FU-10004017,47,30
286,FUR-FU-10004018,43,15
287,FUR-FU-10004020,30,30
288,FUR-FU-10004053,103,25
289,FUR-FU-10004071,54,25
290,FUR-FU-10004090,17,20
291,FUR-FU-10004091,64,30
292,FUR-FU-10004093,139,25
293,FUR-FU-10004164,61,20
294,FUR-FU-10004188,40,30
295,FUR-FU-10004245,24,15
296,FUR-FU-10004270,69,25
297,FUR-FU-10004306,12,15
298,FUR-FU-10004351,148,30
299,FUR-FU-10004415,146,25
300,FUR-FU-10004460,119,30
301,FUR-FU-10004586,147,15
302,FUR-FU-10004587,96,25
303,FUR-FU-10004597,102,15
304,FUR-FU-10004622,70,30
305,FUR-FU-10004665,36,30
306,FUR-FU-10004666,90,15
307,FUR-FU-10004671,55,25
308,FUR-FU-10004712,67,15
309,FUR-FU-10004748,129,30
310,FUR-FU-10004845,62,15
311,FUR-FU-10004848,62,30
312,FUR-FU-10004864,90,15
313,FUR-FU-10004904,53,25
314,FUR-FU-10004909,74,25
315,FUR-FU-10004952,19,15
316,FUR-FU-10004960,58,15
317,FUR-FU-10004963,105,25
318,FUR-FU-10004973,12,30
319,FUR-TA-10000198,57,25
320,FUR-TA-10000577,64,30
321,FUR-TA-10000617,112,15
322,FUR-TA-10000688,9,15
323,FUR-TA-10000849,107,30
324,FUR-TA-10001039,10,15
325,FUR-TA-10001086,113,30
326,FUR-TA-10001095,120,20
327,FUR-TA-10001307,98,25
328,FUR-TA-10001520,51,20
329,FUR-TA-10001539,103,30
330,FUR-TA-10001676,59,25
331,FUR-TA-10001691,56,30
332,FUR-TA-10001705,148,25
333,FUR-TA-10001768,17,25
334,FUR-TA-10001771,118,25
335,FUR-TA-10001857,128,25
336,FUR-TA-10001866,110,30
337,FUR-TA-10001889,149,25
338,FUR-TA-10001932,124,25
339,FUR-TA-10001950,67,20
340,FUR-TA-10002041,23,15
341,FUR-TA-10002228,96,15
342,FUR-TA-10002356,62,20
343,FUR-TA-10002530,94,20
344,FUR-TA-10002533,121,30
345,FUR-TA-10002607,66,30
346,FUR-TA-10002622,27,30
347,FUR-TA-10002645,131,20
348,FUR-TA-10002774,141,20
349,FUR-TA-10002855,144,25
350,FUR-TA-10002903,133,30
351,FUR-TA-10002958,62,30
352,FUR-TA-10003008,126,30
353,FUR-TA-10003238,5,15
354,FUR-TA-10003392,38,25
355,FUR-TA-10003469,100,30
356,FUR-TA-10003473,130,30
357,FUR-TA-10003569,122,30
358,FUR-TA-10003715,52,15
359,FUR-TA-10003748,93,15
360,FUR-TA-10003837,121,20
361,FUR-TA-10003954,133,25
362,FUR-TA-10004086,20,20
363,FUR-TA-10004147,73,25
364,FUR-TA-10004152,26,15
365,FUR-TA-10004154,97,30
366,FUR-TA-10004175,80,20
367,FUR-TA-10004256,148,30
368,FUR-TA-10004289,90,20
369,FUR-TA-10004442,33,15
370,FUR-TA-10004534,73,15
371,FUR-TA-10004575,51,15
372,FUR-TA-10004607,98,20
373,FUR-TA-10004619,148,25
374,FUR-TA-10004767,89,20
375,FUR-TA-10004915,43,25
376,OFF-AP-10000026,104,20
377,OFF-AP-10000027,37,20
378,OFF-AP-10000055,105,15
379,OFF-AP-10000124,27,30
380,OFF-AP-10000159,14,30
381,OFF-AP-10000179,73,25
382,OFF-AP-10000240,104,30
383,OFF-AP-10000252,38,20
384,OFF-AP-10000275,142,20
385,OFF-AP-10000326,100,15
386,OFF-AP-10000358,5,15
387,OFF-AP-10000390,73,30
388,OFF-AP-10000576,8,25
389,OFF-AP-10000595,20,30
390,OFF-AP-10000692,28,30
391,OFF-AP-10000696,84,30
392,OFF-AP-10000804,6,30
393,OFF-AP-10000828,132,20
394,OFF-AP-10000891,88,25
395,OFF-AP-10000938,144,20
396,OFF-AP-10001005,128,25
397,OFF-AP-10001058,37,15
398,OFF-AP-10001124,105,30
399,OFF-AP-10001154,16,20
400,OFF-AP-10001205,71,25
401,OFF-AP-10001242,69,15
402,OFF-AP-10001271,78,15
403,OFF-AP-10001293,47,30
404,OFF-AP-10001303,48,25
405,OFF-AP-10001366,33,20
406,OFF-AP-10001391,145,30
407,OFF-AP-10001394,16,20
408,OFF-AP-10001469,99,15
409,OFF-AP-10001492,50,20
410,OFF-AP-10001563,134,20
411,OFF-AP-10001564,39,30
412,OFF-AP-10001626,85,20
413,OFF-AP-10001634,94,30
414,OFF-AP-10001947,12,15
415,OFF-AP-10001962,97,30
416,OFF-AP-10002082,94,30
417,OFF-AP-10002118,119,25
418,OFF-AP-10002191,109,20
419,OFF-AP-10002203,139,15
420,OFF-AP-10002222,62,30
421,OFF-AP-10002287,118,15
422,OFF-AP-10002311,79,25
423,OFF-AP-10002350,124,20
424,OFF-AP-10002403,25,30
425,OFF-AP-10002439,142,20
426,OFF-AP-10002457,105,25
427,OFF-AP-10002472,103,25
428,OFF-AP-10002495,40,15
429,OFF-AP-10002518,100,30
430,OFF-AP-10002534,41,15
431,OFF-AP-10002578,16,25
432,OFF-AP-10002651,117,20
433,OFF-AP-10002670,17,15
434,OFF-AP-10002684,27,15
435,OFF-AP-10002734,103,20
436,OFF-AP-10002765,109,15
437,OFF-AP-10002867,34,20
438,OFF-AP-10002892,21,30
439,OFF-AP-10002906,117,20
440,OFF-AP-10002945,66,30
441,OFF-AP-10002998,88,20
442,OFF-AP-10003040,116,25
443,OFF-AP-10003057,90,25
444,OFF-AP-10003099,145,30
445,OFF-AP-10003217,23,30
446,OFF-AP-10003266,104,25
447,OFF-AP-10003278,144,30
448,OFF-AP-10003281,80,20
449,OFF-AP-10003287,13,20
450,OFF-AP-10003590,32,25
451,OFF-AP-10003622,132,15
452,OFF-AP-10003779,56,20
453,OFF-AP-10003842,87,30
454,OFF-AP-10003849,115,15
455,OFF-AP-10003860,148,15
456,OFF-AP-10003884,121,20
457,OFF-AP-10003914,73,20
458,OFF-AP-10003971,103,15
459,OFF-AP-10004036,144,15
460,OFF-AP-10004052,29,25
461,OFF-AP-10004136,127,30
462,OFF-AP-10004233,57,25
463,OFF-AP-10004249,148,20
464,OFF-AP-10004336,61,25
465,OFF-AP-10004487,43,25
466,OFF-AP-10004532,113,25
467,OFF-AP-10004540,46,25
468,OFF-AP-10004655,146,30
469,OFF-AP-10004708,126,30
470,OFF-AP-10004785,137,15
471,OFF-AP-10004859,79,20
472,OFF-AP-10004868,80,25
473,OFF-AP-10004980,13,15
474,OFF-AR-10000034,78,15
475,OFF-AR-10000122,149,15
476,OFF-AR-10000127,11,30
477,OFF-AR-10000203,145,25
478,OFF-AR-10000246,141,25
479,OFF-AR-10000255,31,20
480,OFF-AR-10000315,126,25
481,OFF-AR-10000369,9,25
482,OFF-AR-10000380,33,15
483,OFF-AR-10000390,87,20
484,OFF-AR-10000411,140,25
485,OFF-AR-10000422,113,30
486,OFF-AR-10000462,69,25
487,OFF-AR-10000475,90,15
488,OFF-AR-10000538,149,30
489,OFF-AR-10000588,75,15
490,OFF-AR-10000614,49,25
491,OFF-AR-10000634,136,30
492,OFF-AR-10000657,40,20
493,OFF-AR-10000658,74,20
494,OFF-AR-10000716,23,30
495,OFF-AR-10000799,112,30
496,OFF-AR-10000817,95,15
497,OFF-AR-10000823,94,30
498,OFF-AR-10000896,23,15
499,OFF-AR-10000914,43,25
500,OFF-AR-10000937,130,15
501,OFF-AR-10000940,145,30
502,OFF-AR-10001022,130,30
503,OFF-AR-10001026,62,25
504,OFF-AR-10001044,65,30
505,OFF-AR-10001118,131,30
506,OFF-AR-10001130,109,20
507,OFF-AR-10001149,5,20
508,OFF-AR-10001166,135,25
509,OFF-AR-10001177,96,15
510,OFF-AR-10001216,117,20
511,OFF-AR-10001221,60,15
512,OFF-AR-10001227,121,30
513,OFF-AR-10001231,138,20
514,OFF-AR-10001246,62,25
515,OFF-AR-10001315,48,25
516,OFF-AR-10001374,65,25
517,OFF-AR-10001419,51,20
518,OFF-AR-10001427,84,15
519,OFF-AR-10001446,122,30
520,OFF-AR-10001468,24,15
521,OFF-AR-10001473,51,15
522,OFF-AR-10001545,53,30
523,OFF-AR-10001547,18,30
524,OFF-AR-10001573,147,20
525,OFF-AR-10001615,5,20
526,OFF-AR-10001662,121,20
527,OFF-AR-10001683,58,20
528,OFF-AR-10001725,122,20
529,OFF-AR-10001761,7,30
530,OFF-AR-10001770,148,15
531,OFF-AR-10001860,16,20
532,OFF-AR-10001868,78,20
533,OFF-AR-10001897,20,15
534,OFF-AR-10001915,106,20
535,OFF-AR-10001919,121,15
536,OFF-AR-10001940,12,15
537,OFF-AR-10001953,126,30
538,OFF-AR-10001954,96,25
539,OFF-AR-10001955,94,30
540,OFF-AR-10001958,140,25
541,OFF-AR-10001972,64,25
542,OFF-AR-10001988,32,25
543,OFF-AR-10002053,105,20
544,OFF-AR-10002067,45,30
545,OFF-AR-10002135,149,25
546,OFF-AR-10002221,145,15
547,OFF-AR-10002240,50,20
548,OFF-AR-10002255,39,30
549,OFF-AR-10002257,138,25
550,OFF-AR-10002280,86,15
551,OFF-AR-10002335,119,30
552,OFF-AR-10002375,51,30
553,OFF-AR-10002399,14,20
554,OFF-AR-10002445,60,30
555,OFF-AR-10002467,34,20
556,OFF-AR-10002578,113,25
557,OFF-AR-10002656,9,20
558,OFF-AR-10002671,123,15
559,OFF-AR-10002704,37,20
560,OFF-AR-10002766,122,15
561,OFF-AR-10002804,69,20
562,OFF-AR-10002818,15,30
563,OFF-AR-10002833,89,25
564,OFF-AR-10002952,30,15
565,OFF-AR-10002956,67,20
566,OFF-AR-10002987,90,20
567,OFF-AR-10003045,63,20
568,OFF-AR-10003056,31,30
569,OFF-AR-10003087,102,30
570,OFF-AR-10003156,109,15
571,OFF-AR-10003158,103,15
572,OFF-AR-10003179,133,30
573,OFF-AR-10003183,59,15
574,OFF-AR-10003190,10,25
575,OFF-AR-10003217,99,25
576,OFF-AR-10003251,137,30
577,OFF-AR-10003338,106,15
578,OFF-AR-10003373,7,20
579,OFF-AR-10003394,27,25
580,OFF-AR-10003405,57,30
581,OFF-AR-10003469,87,15
582,OFF-AR-10003477,149,30
583,OFF-AR-10003478,89,20
584,OFF-AR-10003481,82,25
585,OFF-AR-10003504,114,30
586,OFF-AR-10003514,5,30
587,OFF-AR-10003560,55,30
588,OFF-AR-10003582,8,20
589,OFF-AR-10003602,117,30
590,OFF-AR-10003631,36,20
591,OFF-AR-10003651,38,20
592,OFF-AR-10003696,96,20
593,OFF-AR-10003723,99,25
594,OFF-AR-10003727,76,25
595,OFF-AR-10003732,43,30
596,OFF-AR-10003752,122,30
597,OFF-AR-10003759,7,25
598,OFF-AR-10003770,127,15
599,OFF-AR-10003772,54,25
600,OFF-AR-10003811,16,20
601,OFF-AR-10003829,58,25
602,OFF-AR-10003856,137,20
603,OFF-AR-10003876,61,30
604,OFF-AR-10003896,149,15
605,OFF-AR-10003903,116,30
606,OFF-AR-10003958,51,20
607,OFF-AR-10003986,89,20
608,OFF-AR-10004010,146,20
609,OFF-AR-10004022,70,15
610,OFF-AR-10004027,79,25
611,OFF-AR-10004042,107,30
612,OFF-AR-10004062,42,30
613,OFF-AR-10004078,54,25
614,OFF-AR-10004165,102,30
615,OFF-AR-10004260,86,15
616,OFF-AR-10004269,34,30
617,OFF-AR-10004272,83,20
618,OFF-AR-10004344,95,25
619,OFF-AR-10004441,56,15
620,OFF-AR-10004456,83,25
621,OFF-AR-10004511,34,15
622,OFF-AR-10004582,110,20
623,OFF-AR-10004587,55,25
624,OFF-AR-10004602,85,30
625,OFF-AR-10004648,137,15
626,OFF-AR-10004685,33,25
627,OFF-AR-10004691,136,30
628,OFF-AR-10004707,142,25
629,OFF-AR-10004752,149,25
630,OFF-AR-10004757,78,25
631,OFF-AR-10004790,21,15
632,OFF-AR-10004817,88,30
633,OFF-AR-10004930,73,20
634,OFF-AR-10004956,38,15
635,OFF-AR-10004974,10,15
636,OFF-AR-10004999,57,15
637,OFF-BI-10000014,130,20
638,OFF-BI-10000042,47,30
639,OFF-BI-10000050,119,30
640,OFF-BI-10000069,115,30
641,OFF-BI-10000088,84,25
642,OFF-BI-10000136,99,25
643,OFF-BI-10000138,122,25
644,OFF-BI-10000145,148,20
645,OFF-BI-10000174,12,25
646,OFF-BI-10000201,136,20
647,OFF-BI-10000216,108,30
648,OFF-BI-10000279,136,25
649,OFF-BI-10000285,29,25
650,OFF-BI-10000301,100,15
651,OFF-BI-10000309,97,20
652,OFF-BI-10000315,65,30
653,OFF-BI-10000320,126,15
654,OFF-BI-10000343,55,15
655,OFF-BI-10000404,25,30
656,OFF-BI-10000474,9,15
657,OFF-BI-10000494,96,20
658,OFF-BI-10000545,65,20
659,OFF-BI-10000546,26,25
660,OFF-BI-10000591,74,15
661,OFF-BI-10000605,5,25
662,OFF-BI-10000632,137,15
663,OFF-BI-10000666,16,20
664,OFF-BI-10000756,94,20
665,OFF-BI-10000773,50,20
666,OFF-BI-10000778,38,15
667,OFF-BI-10000822,82,20
668,OFF-BI-10000829,49,15
669,OFF-BI-10000831,77,25
670,OFF-BI-10000848,30,15
671,OFF-BI-10000948,51,25
672,OFF-BI-10000962,125,15
673,OFF-BI-10000977,60,25
674,OFF-BI-10001031,98,20
675,OFF-BI-10001036,111,25
676,OFF-BI-10001071,67,20
677,OFF-BI-10001072,52,20
678,OFF-BI-10001078,65,25
679,OFF-BI-10001097,85,15
680,OFF-BI-10001098,30,15
681,OFF-BI-10001107,40,30
682,OFF-BI-10001116,5,15
683,OFF-BI-10001120,12,30
684,OFF-BI-10001132,117,15
685,OFF-BI-10001153,103,15
686,OFF-BI-10001191,51,20
687,OFF-BI-10001196,131,30
688,OFF-BI-10001249,60,15
689,OFF-BI-10001267,18,30
690,OFF-BI-10001294,32,20
691,OFF-BI-10001308,82,20
692,OFF-BI-10001359,134,30
693,OFF-BI-10001460,113,20
694,OFF-BI-10001510,18,25
695,OFF-BI-10001524,60,25
696,OFF-BI-10001525,119,20
697,OFF-BI-10001543,11,25
698,OFF-BI-10001553,7,15
699,OFF-BI-10001575,115,30
700,OFF-BI-10001597,111,15
701,OFF-BI-10001617,22,30
702,OFF-BI-10001628,42,20
703,OFF-BI-10001634,119,15
704,OFF-BI-10001636,19,20
705,OFF-BI-10001658,123,20
706,OFF-BI-10001670,32,30
707,OFF-BI-10001679,43,30
708,OFF-BI-10001718,21,30
709,OFF-BI-10001721,90,15
710,OFF-BI-10001757,130,25
711,OFF-BI-10001758,48,30
712,OFF-BI-10001759,29,30
713,OFF-BI-10001765,149,15
714,OFF-BI-10001787,17,30
715,OFF-BI-10001890,29,15
716,OFF-BI-10001900,72,20
717,OFF-BI-10001922,142,30
718,OFF-BI-10001982,71,30
719,OFF-BI-10001989,113,20
720,OFF-BI-10002003,115,20
721,OFF-BI-10002012,115,20
722,OFF-BI-10002026,38,30
723,OFF-BI-10002049,115,25
724,OFF-BI-10002071,12,25
725,OFF-BI-10002072,117,25
726,OFF-BI-10002082,87,30
727,OFF-BI-10002103,46,20
728,OFF-BI-10002133,105,30
729,OFF-BI-10002160,10,20
730,OFF-BI-10002194,30,30
731,OFF-BI-10002215,68,30
732,OFF-BI-10002225,63,20
733,OFF-BI-10002309,113,25
734,OFF-BI-10002353,125,20
735,OFF-BI-10002393,37,15
736,OFF-BI-10002412,25,15
737,OFF-BI-10002414,74,20
738,OFF-BI-10002429,116,30
739,OFF-BI-10002432,8,15
740,OFF-BI-10002437,98,15
741,OFF-BI-10002498,79,30
742,OFF-BI-10002557,66,30
743,OFF-BI-10002571,98,25
744,OFF-BI-10002609,99,30
745,OFF-BI-10002706,59,20
746,OFF-BI-10002735,141,20
747,OFF-BI-10002764,135,25
748,OFF-BI-10002794,35,15
749,OFF-BI-10002799,44,15
750,OFF-BI-10002813,40,30
751,OFF-BI-10002824,10,20
752,OFF-BI-10002827,70,15
753,OFF-BI-10002852,79,25
754,OFF-BI-10002854,8,25
755,OFF-BI-10002867,83,20
756,OFF-BI-10002897,138,25
757,OFF-BI-10002931,122,25
758,OFF-BI-10002949,117,20
759,OFF-BI-10002954,98,30
760,OFF-BI-10002976,66,30
761,OFF-BI-10002982,83,25
762,OFF-BI-10003007,140,30
763,OFF-BI-10003091,30,30
764,OFF-BI-10003094,48,25
765,OFF-BI-10003166,137,30
766,OFF-BI-10003196,74,25
767,OFF-BI-10003274,122,15
768,OFF-BI-10003291,72,20
769,OFF-BI-10003305,23,20
770,OFF-BI-10003314,24,30
771,OFF-BI-10003350,117,30
772,OFF-BI-10003355,144,30
773,OFF-BI-10003364,51,20
774,OFF-BI-10003429,5,15
775,OFF-BI-10003460,94,15
776,OFF-BI-10003476,146,20
777,OFF-BI-10003527,68,15
778,OFF-BI-10003529,42,20
779,OFF-BI-10003638,41,15
780,OFF-BI-10003650,130,25
781,OFF-BI-10003655,143,25
782,OFF-BI-10003656,104,20
783,OFF-BI-10003669,81,15
784,OFF-BI-10003676,7,30
785,OFF-BI-10003684,138,15
786,OFF-BI-10003694,14,25
787,OFF-BI-10003707,9,25
788,OFF-BI-10003708,142,15
789,OFF-BI-10003712,134,15
790,OFF-BI-10003718,17,30
791,OFF-BI-10003719,134,30
792,OFF-BI-10003727,88,15
793,OFF-BI-10003784,69,15
794,OFF-BI-10003876,67,15
795,OFF-BI-10003910,105,15
796,OFF-BI-10003925,77,20
797,OFF-BI-10003963,21,15
798,OFF-BI-10003981,13,30
799,OFF-BI-10003982,147,25
800,OFF-BI-10003984,42,20
801,OFF-BI-10004001,98,15
802,OFF-BI-10004002,99,25
803,OFF-BI-10004022,53,20
804,OFF-BI-10004040,73,25
805,OFF-BI-10004094,66,15
806,OFF-BI-10004099,82,15
807,OFF-BI-10004139,121,30
808,OFF-BI-10004140,124,15
809,OFF-BI-10004141,141,15
810,OFF-BI-10004182,80,20
811,OFF-BI-10004187,39,30
812,OFF-BI-10004209,5,20
813,OFF-BI-10004224,44,25
814,OFF-BI-10004230,68,15
815,OFF-BI-10004233,64,25
816,OFF-BI-10004236,68,20
817,OFF-BI-10004308,97,15
818,OFF-BI-10004318,76,15
819,OFF-BI-10004330,15,20
820,OFF-BI-10004352,109,20
821,OFF-BI-10004364,18,20
