StockCode,description,total_quantity_sold,total_revenue
20658,RED RETROSPOT LUGGAGE TAG,327,408.75
20659,ECONOMY LUGGAGE TAG,94,139.56
20661,BLUE POLKADOT PURSE ,9,35.07
20662,FIRST CLASS HOLIDAY PURSE ,11,40.97
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,3,11.690000000000001
20664,TROPICAL HOLIDAY PURSE ,6,17.700000000000003
20665,RED RETROSPOT PURSE ,340,998.2000000000002
20666,ECONOMY HOLIDAY PURSE,4,11.8
20667,CHERRY BLOSSOM PURSE,1,2.95
20668,DISCO BALL CHRISTMAS DECORATION,12618,1397.04
20669,RED HEART LUGGAGE TAG,195,243.75
20670,VIP HOLIDAY PURSE,8,29.28
20671,BLUE TEATIME PRINT BOWL ,10,12.5
20674,GREEN POLKADOT BOWL,1360,1632.81
20675,BLUE POLKADOT BOWL,2728,3178.65
20676,RED RETROSPOT BOWL,4310,4980.7300000000005
20677,PINK POLKADOT BOWL,3157,3640.0800000000004
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,6.6
20679,EDWARDIAN PARASOL RED,1630,9055.87
20681,PINK POLKADOT CHILDRENS UMBRELLA,125,406.25
20682,RED RETROSPOT CHILDRENS UMBRELLA,1140,3629.66
20684,STRAWBERRY DREAM CHILDS UMBRELLA,77,250.25
20685,DOORMAT RED RETROSPOT,3897,25364.85
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,252,822.38
20694,FLORAL PINK MONSTER,36,135.0
20695,FLORAL BLUE MONSTER,5,21.25
20696,FLORAL SOFT CAR TOY,32,120.0
20697,LITTLE GREEN MONSTER SOFT TOY,17,43.349999999999994
20698,LITTLE PINK MONSTER SOFT TOY,16,40.8
20699,MOUSEY LONG LEGS SOFT TOY,29,73.94999999999999
20700,GREEN CAT FLORAL CUSHION COVER ,10,37.5
20701,PINK CAT FLORAL CUSHION COVER ,6,22.5
20702,PINK PADDED MOBILE,127,539.75
20703,BLUE PADDED SOFT MOBILE,1,4.25
20704,MR ROBOT SOFT TOY,211,626.45
20705,MRS ROBOT SOFT TOY,143,428.85
20707,CRAZY DAISY HEART DECORATION,155,195.52
20711,JUMBO BAG TOYS ,4198,7689.28
20712,JUMBO BAG WOODLAND ANIMALS,8187,15511.6
20713,JUMBO BAG OWLS,10451,19047.02
20716,PARTY FOOD SHOPPER BAG,314,373.5
20717,STRAWBERRY SHOPPER BAG,2034,2453.38
20718,RED RETROSPOT SHOPPER BAG,4257,5106.56
20719,WOODLAND CHARLOTTE BAG,9219,7261.94
20723,STRAWBERRY CHARLOTTE BAG,6842,5516.7
20724,RED RETROSPOT CHARLOTTE BAG,12805,10122.45
20725,LUNCH BAG RED RETROSPOT,17776,28158.8
20726,LUNCH BAG WOODLAND,9091,14497.51
20727,LUNCH BAG  BLACK SKULL.,11246,17950.3
20728,LUNCH BAG CARS BLUE,10789,17214.53
20731,POSY CANDY BAG,74,92.5
20733,GOLD MINI TAPE MEASURE ,916,687.2
20735,BLACK MINI TAPE MEASURE ,158,121.3
20748,KENSINGTON COFFEE SET,53,675.75
20749,ASSORTED COLOUR MINI CASES,1717,12107.51
20750,RED RETROSPOT MINI CASES,1711,12208.85
20751,FUNKY WASHING UP GLOVES ASSORTED,941,1917.0600000000002
20752,BLUE POLKADOT WASHING UP GLOVES,360,756.0000000000001
20754,RETROSPOT RED WASHING UP GLOVES,1355,2668.38
20755,BLUE PAISLEY POCKET BOOK,291,247.35
20756,GREEN FERN POCKET BOOK,63,53.55
20757,RED DAISY POCKET BOOK ,155,132.53
20758,ABSTRACT CIRCLES POCKET BOOK,158,134.29999999999998
20759,CHRYSANTHEMUM POCKET BOOK ,64,54.4
20760,GARDEN PATH POCKET BOOK,69,58.65
20761,BLUE PAISLEY SKETCHBOOK,107,408.67
20762,GREEN FERN SKETCHBOOK ,101,382.46
20763,DAISY SKETCHBOOK ,71,189.96
20764,ABSTRACT CIRCLES SKETCHBOOK ,126,483.63
20765,CHRYSANTHEMUM SKETCHBOOK ,94,367.34
20766,GARDEN PATH SKETCHBOOK,111,414.58
20767,BLUE PAISLEY JOURNAL ,214,534.3199999999999
20768,GREEN FERN JOURNAL ,130,317.71
20769,DAISY JOURNAL ,66,173.11999999999998
20770,ABSTRACT CIRCLE JOURNAL ,107,256.65
20771,CHRYSANTHEMUM  JOURNAL,70,180.91
20772,GARDEN PATH JOURNAL,218,534.46
20773,BLUE PAISLEY NOTEBOOK,56,92.39999999999999
20774,GREEN FERN NOTEBOOK,52,85.8
20775,DAISY NOTEBOOK ,63,103.94999999999999
20777,CHRYSANTHEMUM NOTEBOOK,95,156.75
20778,GARDEN PATH NOTEBOOK ,15,24.75
20780,BLACK EAR MUFF HEADPHONES,36,192.86
20781,GOLD EAR MUFF HEADPHONES,29,152.13
20782,CAMOUFLAGE EAR MUFF HEADPHONES,39,215.87
20785,FUSCHIA RETRO BAR STOOL,14,523.3000000000001
20793,BLUE TILED TRAY,8,54.0
20794,BLUE  TILE HOOK,85,213.14999999999998
20795,LARGE BLUE PROVENCAL CERAMIC BALL,44,92.4
20796,SMALL BLUE PROVENCAL CERAMIC BALL,61,100.64999999999999
20798,CLEAR MILKSHAKE GLASS,36,75.60000000000001
20801,LARGE PINK GLASS SUNDAE DISH,848,708.16
20802,SMALL GLASS SUNDAE DISH CLEAR,648,730.4399999999999
20803,SMALL PINK GLASS SUNDAE DISH,911,383.91
20816,GOLD FLOWER CUSHION COVER ,8,15.6
20818,GOLD TEDDY BEAR,12,20.0
20819,SILVER TEDDY BEAR,48,183.71
20820,SILVER LOOKING MIRROR,5,24.75
20821,GOLDIE LOOKING MIRROR,16,79.2
20823,GOLD WINE GOBLET,160,126.4
20826,SILVER APERITIF GLASS,276,128.4
20827,GOLD APERITIF GLASS,88,34.32
20828,GLITTER BUTTERFLY CLIPS,1010,2489.1
20829,GLITTER HANGING BUTTERFLY STRING,1264,2528.3900000000003
20830,SILVER PHOTO FRAME,75,157.5
20831,GOLD PHOTO FRAME,169,272.34000000000003
20832,RED FLOCK LOVE HEART PHOTO FRAME,1010,517.68
20835,FRENCH LATTICE CUSHION COVER ,66,54.779999999999994
20836,FRENCH PAISLEY CUSHION COVER,170,141.1
20837,FRENCH FLORAL CUSHION COVER ,141,142.47
20838,FRENCH LATTICE CUSHION COVER ,330,282.94
20839,FRENCH PAISLEY CUSHION COVER ,452,411.84
20840,FRENCH FLORAL CUSHION COVER ,464,399.28
20845,ZINC HEART LATTICE 2 WALL PLANTER,19,120.64999999999999
20846,ZINC HEART LATTICE T-LIGHT HOLDER,646,784.22
20847,ZINC HEART LATTICE CHARGER LARGE,46,172.5
20848,ZINC HEART LATTICE CHARGER SMALL,21,61.95
20851,ZINC HEART LATTICE TRAY OVAL ,9,53.550000000000004
20854,BLUE PATCH PURSE PINK HEART,164,252.79999999999998
20856,DENIM PATCH PURSE PINK BUTTERFLY,140,231.0
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,32,52.8
20861,GOLD COSMETIC BAG PINK STAR,2,4.2
20866,BLUE ROSE FABRIC MIRROR,408,487.34
20867,PINK ROSE FABRIC MIRROR,187,231.47
20868,SILVER FABRIC MIRROR,381,159.26000000000002
20869,GOLD FABRIC MIRROR,139,54.21000000000001
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,24,30.0
20886,BOX OF 9 PEBBLE CANDLES,452,851.4
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,1,12.75
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,258,566.55
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,25,73.75
20897,VINTAGE NOTEBOOK PARIS DAYS,85,230.35
20898,VINTAGE NOTEBOOK TRAVELOGUE,25,73.75
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,3,19.049999999999997
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,33,190.35
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,20,127.0
20906,VINTAGE NOTEBOOK BEAUTY GIRL,3,8.850000000000001
20910,VINTAGE PHOTO ALBUM PARIS DAYS,8,50.8
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6159,17271.530000000002
20931,BLUE POT PLANT CANDLE ,263,794.45
20932,PINK POT PLANT CANDLE,189,516.25
20933,YELLOW POT PLANT CANDLE,23,71.05
20934,SET/3 POT PLANT CANDLES,54,294.3
20935,ROUND CACTUS CANDLE,6,17.700000000000003
20936,FORKED CACTUS CANDLE,92,272.98
20941,FROG CANDLE,61,76.25
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,728,913.63
20961,STRAWBERRY BATH SPONGE ,1026,1301.86
20963,APPLE BATH SPONGE,1100,1397.99
20964,POLYESTER FILLER PAD 60x40cm,2,5.1
20966,SANDWICH BATH SPONGE,589,698.25
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,256,960.0
20969,RED FLORAL FELTCRAFT SHOULDER BAG,1874,6726.81
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,1080,3979.88
20971,PINK BLUE FELT CRAFT TRINKET BOX,10217,11619.39
20972,PINK CREAM FELT CRAFT TRINKET BOX ,7106,8617.24
20973,12 PENCIL SMALL TUBE WOODLAND,3998,2545.3
20974,12 PENCILS SMALL TUBE SKULL,6727,4230.55
20975,12 PENCILS SMALL TUBE RED RETROSPOT,6393,4096.650000000001
20977,36 PENCILS TUBE WOODLAND,1595,1969.43
20978,36 PENCILS TUBE SKULLS,1627,2009.43
20979,36 PENCILS TUBE RED RETROSPOT,3518,4227.26
20980,36 PENCILS TUBE POSY,27,33.75
20981,12 PENCILS TALL TUBE WOODLAND,1849,1571.6499999999999
20982,12 PENCILS TALL TUBE SKULLS,2014,1705.6599999999999
20983,12 PENCILS TALL TUBE RED RETROSPOT,2643,2240.31
20984,12 PENCILS TALL TUBE POSY,3782,1161.1799999999998
20985,HEART CALCULATOR,1013,1155.88
20986,BLUE CALCULATOR RULER,459,543.01
20992,JAZZ HEARTS PURSE NOTEBOOK,4339,1845.87
20996,JAZZ HEARTS ADDRESS BOOK,3054,648.12
20997,ROSE DU SUD CUSHION COVER ,15,74.25
20998,ROSE DU SUD OVEN GLOVE,119,348.25000000000006
21000,ROSE DU SUD COSMETICS BAG,45,191.25
21001,ROSE DU SUD WASHBAG ,24,142.8
21002,ROSE DU SUD DRAWSTRING BAG,13,55.25
21003,ROSE DU SUD CUSHION COVER,13,82.55
21011,GLITTER SNOW PEAR TREE DECORATION,18,26.099999999999998
21012,ANTIQUE ALL GLASS CANDLESTICK,565,1129.1000000000001
21014,SWISS CHALET TREE DECORATION ,1233,455.56999999999994
21015,DARK BIRD HOUSE TREE DECORATION,1249,377.3299999999999
21018,BIRD BOX CHRISTMAS TREE DECORATION,22,18.7
21025,SPACE FROG,100,127.25
21026,SPACE OWL,140,173.62
21027,NINJA RABBIT PINK,99,119.95
21028,NINJA RABBIT BLACK,116,148.29
21030,SPACE CADET RED,111,141.17
21031,SPACE CADET BLACK,39,49.96
21032,SPACE CADET WHITE,64,83.63
21033,JUMBO BAG CHARLIE AND LOLA TOYS,921,1932.67
21034,REX CASH+CARRY JUMBO SHOPPER,1832,1740.3999999999999
21035,SET/2 RED RETROSPOT TEA TOWELS ,2315,6807.01
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,77,86.75
21039,RED RETROSPOT SHOPPING BAG,510,1284.6599999999999
21040,MODERN VINTAGE COTTON SHOPPING BAG,22,29.7
21041,RED RETROSPOT OVEN GLOVE DOUBLE,569,1678.5500000000002
21042,RED RETROSPOT APRON ,302,1796.9
21043,APRON MODERN VINTAGE COTTON,441,927.9499999999999
21051,RIBBONS PURSE ,108,228.83
21054,NURSE'S BAG SOFT TOY,68,608.5999999999999
21055,TOOL BOX SOFT TOY ,144,1350.24
21056,DOCTOR'S BAG SOFT TOY,174,1640.1799999999998
21058,PARTY INVITES WOODLAND,1046,853.2199999999999
21059,PARTY INVITES DINOSAURS,573,487.04999999999995
21060,PARTY INVITES BALLOON GIRL,356,302.59999999999997
21061,PARTY INVITES FOOTBALL,412,350.2
21062,PARTY INVITES SPACEMAN,500,425.0
21063,PARTY INVITES JAZZ HEARTS,483,412.10999999999996
21064,BOOM BOX SPEAKER BOYS,171,740.15
21065,BOOM BOX SPEAKER GIRLS,485,827.15
21066,VINTAGE RED MUG,687,656.37
21067,VINTAGE RED TEATIME MUG,201,246.88
21068,VINTAGE BILLBOARD LOVE/HATE MUG,1535,1637.71
21069,VINTAGE BILLBOARD TEA MUG,1867,2047.8000000000002
21070,VINTAGE BILLBOARD MUG ,1032,1058.54
21071,VINTAGE BILLBOARD DRINK ME MUG,845,1020.98
21078,SET/20 STRAWBERRY PAPER NAPKINS ,2483,1972.73
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12305,9649.99
21084,SET/6 COLLAGE PAPER CUPS,2199,463.85
21086,SET/6 RED SPOTTY PAPER CUPS,6573,3999.09
21087,SET/6 POSIES PAPER CUPS,126,62.120000000000005
21088,SET/6 FRUIT SALAD PAPER CUPS,1576,345.42
21089,SET/6 GREEN SPRING PAPER CUPS,231,45.730000000000004
21090,SET/6 COLLAGE PAPER PLATES,1664,704.26
21094,SET/6 RED SPOTTY PAPER PLATES,7351,5496.53
21095,SET/6 POSIES PAPER PLATES,95,80.75
21096,SET/6 FRUIT SALAD  PAPER PLATES,1143,479.25
21098,CHRISTMAS TOILET ROLL,3164,3665.05
21100,CHARLIE AND LOLA CHARLOTTE BAG,43,70.95
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT ,193,530.95
21107,CREAM SLICE FLANNEL PINK SPOT ,837,2209.95
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,10070,17291.57
21109,"LARGE CAKE TOWEL, CHOCOLATE SPOTS",836,2129.4
21110,LARGE CAKE TOWEL PINK SPOTS,774,2288.3
21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",788,1290.3
21112,"SWISS ROLL TOWEL, PINK  SPOTS",1245,2551.83
21114,LAVENDER SCENTED FABRIC HEART,1327,1674.03
21115,ROSE CARAVAN DOORSTOP,519,2567.61
21116,OWL DOORSTOP,489,2339.19
21117,BLOND DOLL DOORSTOP,109,141.75
21121,SET/10 RED POLKADOT PARTY CANDLES,6498,7794.18
21122,SET/10 PINK POLKADOT PARTY CANDLES,5251,6346.08
21123,SET/10 IVORY POLKADOT PARTY CANDLES,973,1213.31
21124,SET/10 BLUE POLKADOT PARTY CANDLES,3966,4793.34
21125,SET 6 FOOTBALL CELEBRATION CANDLES,595,743.75
21126,SET OF 6 GIRLS CELEBRATION CANDLES,487,604.19
21128,GOLD FISHING GNOME,47,284.16
21129,SILVER FISHING GNOME ,45,332.3
21131,GOLD STANDING GNOME,93,290.25
21132,SILVER STANDING GNOME   ,35,142.75
21135,VICTORIAN  METAL POSTCARD SPRING,2707,2973.55
21136,PAINTED METAL PEARS ASSORTED,4454,7454.22
21137,BLACK RECORD COVER FRAME,11401,39045.8
21143,ANTIQUE GLASS HEART DECORATION ,295,575.25
21145,ANTIQUE GLASS PLACE SETTING,122,152.5
21147,JINGLE BELLS TREE DECORATION,89,200.94
21154,RED RETROSPOT OVEN GLOVE ,3186,3750.38
21155,RED RETROSPOT PEG BAG,2458,5874.95
21156,RETROSPOT CHILDRENS APRON,3038,5585.92
21157,RED RETROSPOT WASHBAG,48,100.80000000000001
21158,MOODY GIRL DOOR HANGER ,1422,684.9599999999999
21159,MOODY BOY  DOOR HANGER ,1108,542.36
21161,KEEP OUT BOYS DOOR HANGER ,130,188.5
21162,TOXIC AREA  DOOR HANGER ,1413,695.23
21163,DO NOT TOUCH MY STUFF DOOR HANGER ,1171,599.79
21164,HOME SWEET HOME METAL SIGN ,1712,4844.72
21165,BEWARE OF THE CAT METAL SIGN ,4025,6401.93
21166,COOK WITH WINE METAL SIGN ,10169,20232.13
21167,WHITE SAGE INCENSE,1260,264.6
21169,YOU'RE CONFUSING ME METAL SIGN ,4270,6743.98
21171,BATHROOM METAL SIGN ,424,566.8
21172,PARTY METAL SIGN ,3330,4701.0199999999995
21174,POTTERING IN THE SHED METAL SIGN,3922,8364.64
21175,GIN + TONIC DIET METAL SIGN,11975,26063.34
21179,NO JUNK MAIL METAL SIGN,1783,1019.59
21181,PLEASE ONE PERSON METAL SIGN,11932,23865.820000000003
21187,WHITE BELL HONEYCOMB PAPER GARLAND ,328,522.0
21188,3D HEARTS  HONEYCOMB PAPER GARLAND,294,838.5000000000001
21189,WHITE HONEYCOMB PAPER GARLAND ,165,272.25
21190,PINK HEARTS PAPER GARLAND,168,245.20000000000002
21191,LARGE WHITE HONEYCOMB PAPER BELL  ,394,788.0400000000001
21192,WHITE BELL HONEYCOMB PAPER ,924,1390.1999999999998
21194,PINK  HONEYCOMB PAPER FAN,436,364.6
21195,PINK  HONEYCOMB PAPER BALL ,417,607.86
21196,ROUND WHITE CONFETTI IN TUBE,89,146.84999999999997
21197,MULTICOLOUR  CONFETTI IN TUBE,243,322.71
21198,WHITE HEART CONFETTI IN TUBE,963,929.9099999999999
21199,PINK  HEART CONFETTI IN TUBE,864,766.56
21200,MULTICOLOUR HONEYCOMB PAPER GARLAND,1010,1272.8999999999999
21201,TROPICAL  HONEYCOMB PAPER GARLAND ,1175,2672.25
21202,DOLLY HONEYCOMB GARLAND,448,403.2
21204,DAISIES  HONEYCOMB GARLAND ,419,691.3499999999999
21205,MULTICOLOUR 3D BALLS GARLAND,209,532.9499999999999
21206,STRAWBERRY HONEYCOMB  GARLAND ,1220,1446.6
21207,SKULL AND CROSSBONES  GARLAND ,981,1532.2499999999998
21208,PASTEL COLOUR HONEYCOMB FAN,873,531.6899999999999
21209,MULTICOLOUR HONEYCOMB FAN,1142,669.12
21210,SET OF 72 RETROSPOT PAPER  DOILIES,5677,7943.0199999999995
21211,SET OF 72 SKULL PAPER  DOILIES,815,1143.35
21212,PACK OF 72 RETROSPOT CAKE CASES,33670,16381.880000000001
21213,PACK OF 72 SKULL CAKE CASES,14302,6855.46
21215,IVORY PAPER CUP CAKE CASES ,866,460.70000000000005
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",1836,8330.12
21217,RED RETROSPOT ROUND CAKE TINS,974,9178.3
21218,RED SPOTTY BISCUIT TIN,2058,7071.2
21219,SET/4 BADGES BALLOON GIRL,323,408.59
21220,SET/4 BADGES DOGS,229,299.56
21221,SET/4 BADGES CUTE CREATURES,201,262.14
21222,SET/4 BADGES BEETLES,194,252.18
21224,SET/4 SKULL BADGES,734,913.7
21226,POCKET MIRROR WOODLAND,8,10.0
21228,"POCKET MIRROR ""GLAMOROUS""",5,6.25
21231,SWEETHEART CERAMIC TRINKET BOX,5748,6864.610000000001
21232,STRAWBERRY CERAMIC TRINKET BOX,10354,12195.06
21238,RED RETROSPOT CUP,3519,2822.41
21239,PINK  POLKADOT CUP,2572,2049.7
21240,BLUE POLKADOT CUP,3153,2484.53
21242,RED RETROSPOT PLATE ,3071,4855.91
21243,PINK  POLKADOT PLATE ,2113,3329.0499999999997
21244,BLUE POLKADOT PLATE ,2131,3359.47
21245,GREEN POLKADOT PLATE ,1011,1618.03
21246,RED RETROSPOT BIG BOWL,175,849.45
21248,DOOR HANGER  MUM + DADS ROOM,187,271.15
21249,WOODLAND  HEIGHT CHART STICKERS ,672,1874.4
21250,SET OF SKULL WALL STICKERS,92,257.0
21251,DINOSAUR HEIGHT CHART STICKER SET,165,486.75000000000006
21253,SET OF PICTURE FRAME  STICKERS,65,189.59000000000003
21257,VICTORIAN SEWING BOX MEDIUM,488,3727.44
21258,VICTORIAN SEWING BOX LARGE,425,5014.23
21259,VICTORIAN SEWING BOX SMALL ,1123,6402.360000000001
21260,FIRST AID TIN,1129,3530.35
21261,GREEN GOOSE FEATHER CHRISTMAS TREE ,167,520.6500000000001
21262,WHITE GOOSE FEATHER CHRISTMAS TREE ,265,781.7500000000001
21263,GREEN GOOSE FEATHER TREE 60CM,161,313.95
21264,WHITE GOOSE FEATHER TREE 60CM ,254,495.29999999999995
21265,PINK GOOSE FEATHER TREE 60CM,128,249.59999999999997
21268,VINTAGE BLUE TINSEL REEL,2,0.84
21269,ANTIQUE CREAM CUTLERY SHELF ,28,238.0
21270,ANTIQUE CREAM CUTLERY CUPBOARD,14,178.5
21272,SALLE DE BAIN HOOK,498,653.8199999999999
21275,ZINC TOP  2 DOOR WOODEN SHELF ,10,169.5
21277,FRENCH STYLE EMBOSSED HEART CABINET,23,485.9
21278,VINTAGE KITCHEN PRINT PUDDINGS,31,79.05
21279,VINTAGE KITCHEN PRINT FRUITS,65,165.75
21280,VINTAGE KITCHEN PRINT VEGETABLES,65,165.75
21281,VINTAGE KITCHEN PRINT SEAFOOD,35,89.24999999999999
21284,RETROSPOT CANDLE  SMALL,384,311.84000000000003
21285,RETROSPOT CANDLE  MEDIUM,350,357.62
21286,RETROSPOT CANDLE  LARGE,255,279.37
21287,SCENTED VELVET LOUNGE CANDLE ,1788,755.13
21288,STRIPEY CHOCOLATE NESTING BOXES,253,707.95
21289,LARGE STRIPES CHOCOLATE GIFT BAG,443,553.75
21291,SMALL POLKADOT CHOCOLATE GIFT BAG ,920,782.0
21292,SMALL STRIPES CHOCOLATE GIFT BAG ,865,591.25
21293,MIRRORED DOVE WALL DECORATION,101,214.13000000000002
21294,ETCHED GLASS COASTER,1536,722.88
21306,SET/4 DAISY MIRROR MAGNETS,486,166.27999999999997
21307,SET/4 BUTTERFLY MIRROR MAGNETS,79,39.199999999999996
21310,CAPIZ CHANDELIER,1,29.95
21311,SET/4 BIRD MIRROR MAGNETS ,452,158.23
21313,GLASS HEART T-LIGHT HOLDER ,2828,2097.71
21314,SMALL GLASS HEART TRINKET POT,3664,7399.960000000001
21316,SMALL CHUNKY GLASS ROMAN  BOWL,148,153.64000000000001
21317,GLASS SPHERE CANDLE STAND MEDIUM,95,510.75
21318,GLASS CHALICE BLUE SMALL ,678,369.0
21319,GLASS CHALICE GREEN  SMALL ,147,129.51
21320,GLASS CHALICE GREEN  LARGE ,186,309.66
21324,HANGING MEDINA LANTERN SMALL,69,203.55
21326,AGED GLASS SILVER T-LIGHT HOLDER,10040,6052.0
21327,SKULLS WRITING SET ,538,887.6999999999999
21328,BALLOONS  WRITING SET ,755,1253.9499999999998
21329,DINOSAURS  WRITING SET ,586,975.0999999999999
21331,MOROCCAN BEATEN METAL DISH LARGE,11,140.25
21332,MOROCCAN BEATEN METAL MIRROR,14,143.3
21333,CLASSIC WHITE FRAME,55,162.25
21336,GOLD WASHBAG,8,23.6
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,925,10123.16
21344,MOROCCAN BEATEN METAL DISH,14,139.29999999999998
21348,PINK SPOTS CHOCOLATE NESTING BOXES ,139,355.65
21349,IVY HEART WREATH,12,81.0
21351,CINAMMON & ORANGE WREATH,101,654.55
21352,EUCALYPTUS & PINECONE  WREATH,311,1118.65
21354,TOAST ITS - BEST MUM,751,885.95
21355,TOAST ITS - I LOVE YOU ,772,955.4
21356,TOAST ITS - FAIRY FLOWER,303,361.9
21357,TOAST ITS - DINOSAUR,19,23.75
21358,TOAST ITS - HAPPY BIRTHDAY,327,408.75
21359,RELAX LARGE WOOD LETTERS,126,743.7
21360,JOY LARGE WOOD LETTERS,37,194.15
21361,LOVE LARGE WOOD LETTERS ,91,1127.85
21363,HOME SMALL WOOD LETTERS,207,1024.65
21364,PEACE SMALL WOOD LETTERS,25,168.75
21365,MIRRORED WALL ART STARS,348,360.0
21366,MIRRORED WALL ART PHOTO FRAMES,24,102.0
21367,MIRRORED WALL ART GENTS,163,159.51
21368,MIRRORED WALL ART LADIES,160,128.4
21369,MIRRORED WALL ART SPLODGES,98,142.5
21370,MIRRORED WALL ART FOXY,15,88.2
21371,MIRRORED WALL ART POPPIES,275,274.65
21372,MIRRORED WALL ART TABLE LAMP,67,75.73
21373,MIRRORED WALL ART SNOWFLAKES,507,380.25
21374,MIRRORED WALL ART SKULLS,294,400.0
21375,LARGE CAMPHOR WOOD FIELD MUSHROOM ,22,107.30000000000001
21376,LARGE  TALL CAMPHOR WOOD TOADSTOOL ,29,149.65
21377,SMALL CAMPHOR WOOD FIELD  MUSHROOM,93,123.20999999999998
21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,129,175.04999999999998
21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,141,155.61
21380,WOODEN HAPPY BIRTHDAY GARLAND,2090,5901.3
21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,1695,2726.31
