CustomerID,country,total_orders,total_quantity,total_spending
12552,Italy,2,88,437.82
12553,France,10,1965,3692.28
12556,Spain,2,355,599.56
12557,Spain,5,4384,11990.960000000001
12558,USA,1,196,269.96
12559,Germany,2,283,561.71
12560,Germany,3,1110,2134.01
12561,Germany,1,177,238.85
12562,France,7,1779,3781.7400000000002
12564,France,1,133,456.9
12565,Saudi Arabia,1,80,145.92
12566,Germany,1,265,351.65
12567,France,10,4305,9401.28
12569,Germany,32,1801,4124.69
12571,France,2,523,519.61
12572,Germany,2,452,1020.42
12573,France,1,84,160.54000000000002
12574,France,1,61,218.45
12576,Poland,5,967,1315.83
12577,France,3,469,626.6
12578,Italy,2,1196,2794.51
12579,France,1,285,440.42
12580,Germany,1,238,415.7
12581,Germany,1,161,197.71
12582,Finland,2,300,511.36
12583,France,15,5060,7281.38
12584,Italy,9,416,2338.15
12585,Germany,2,1279,2040.1
12586,Italy,1,79,196.94000000000003
12587,Finland,1,51,144.0
12588,Finland,1,53,214.89999999999998
12589,France,2,306,646.68
12590,Germany,2,4283,9864.26
12591,Italy,1,228,452.84999999999997
12592,Germany,2,290,437.6
12593,France,3,206,418.09999999999997
12594,Italy,10,1777,3338.2200000000003
12596,Spain,2,474,618.27
12597,Spain,4,2236,3811.22
12598,France,8,1964,3023.08
12599,France,7,956,1032.58
12600,Germany,10,774,2599.04
12601,Germany,5,245,577.0600000000001
12602,France,1,162,153.12
12603,Germany,1,63,739.1999999999999
12604,France,2,201,254.18
12607,USA,1,1228,1579.51
12609,Germany,3,648,1126.85
12610,Italy,5,1049,2099.54
12611,Italy,1,846,1193.32
12612,Germany,1,262,704.0400000000001
12613,Germany,5,1644,3344.38
12614,Germany,1,76,315.6
12615,France,4,1376,2291.19
12616,France,2,284,713.3
12617,France,1,210,352.98
12618,Italy,1,96,177.31
12619,Germany,9,3378,3641.24
12620,France,3,1181,1339.41
12621,Germany,20,7440,13689.67
12622,Germany,1,69,180.1
12623,Germany,1,191,305.1
12624,France,2,355,641.13
12625,Germany,2,1612,2683.82
12626,Germany,9,3453,6620.48
12627,Germany,7,2752,4478.53
12628,Germany,3,448,786.46
12630,Finland,2,548,1270.88
12631,Finland,1,236,640.5
12633,Germany,4,1162,2163.98
12635,Germany,2,1172,1689.18
12637,France,8,2994,6002.9
12638,Sweden,1,577,671.69
12639,Sweden,1,201,486.1
12640,France,3,311,1174.58
12641,Sweden,1,72,185.9
12642,Germany,3,552,1013.26
12643,France,6,1808,3344.64
12644,Germany,1,325,477.91
12645,Germany,4,1084,1775.18
12646,USA,2,897,1346.97
12647,Germany,12,1431,3722.82
12648,Germany,1,160,318.05
12649,Germany,3,586,623.51
12650,France,1,254,314.44
12651,France,1,78,114.0
12652,France,1,505,919.98
12653,Israel,2,919,2209.85
12654,Germany,5,264,601.98
12656,France,5,1723,4051.17
12657,France,4,1044,1643.18
12658,Germany,1,320,686.05
12659,France,1,105,91.68
12660,France,1,127,245.1
12662,Germany,11,2058,3849.78
12664,Finland,9,1203,4881.88
12665,Germany,1,37,63.0
12667,Finland,1,395,620.13
12668,Germany,4,1634,3807.15
12669,France,3,1115,2744.0299999999997
12670,France,5,1397,2996.05
12672,France,1,78,225.89999999999998
12673,Germany,2,351,610.52
12674,France,4,1133,1970.6
12676,Sweden,6,670,1331.39
12678,France,12,10923,17628.46
12679,France,4,554,1113.02
12680,France,4,443,862.81
12681,France,22,7536,13787.54
12682,France,31,5555,12279.82
12683,France,15,4987,8476.57
12684,France,7,1985,2283.63
12685,France,6,1523,2863.08
12686,France,1,107,89.14
12688,Israel,1,3028,4873.8099999999995
12689,France,2,628,1247.61
12690,France,1,106,389.01
12691,France,6,394,1035.8
12693,Germany,4,255,855.91
12694,France,2,509,869.67
12695,France,4,220,582.1
12697,Sweden,3,508,957.59
12700,France,4,2967,4939.99
12701,Germany,2,678,797.71
12702,Germany,1,53,219.0
12703,Germany,1,164,283.55
12704,Finland,8,1006,2340.84
12705,Germany,9,3997,6868.29
12707,France,1,256,603.42
12708,Germany,10,1307,2712.91
12709,Germany,15,3912,9706.52
12710,Germany,3,851,1149.02
12712,Germany,13,1062,4396.13
12713,Germany,1,508,848.55
12714,France,5,3069,4708.86
12715,Sweden,1,192,343.36
12716,France,2,708,1053.49
12717,Greece,2,506,1030.98
12718,France,1,203,238.25
12719,France,2,374,644.95
12720,Germany,25,4672,5781.73
12721,France,6,1959,2656.13
12722,France,4,566,997.63
12723,France,5,434,725.07
12724,France,4,445,1031.41
12725,Italy,1,164,427.8
12726,France,7,3143,2609.1
12727,France,7,2098,3980.7
12728,France,4,419,836.33
12729,France,1,233,453.01
12731,France,12,8437,18895.91
12732,France,1,111,236.26000000000002
12733,USA,1,137,383.95
12734,France,1,88,110.39999999999999
12735,France,2,368,779.5699999999999
12736,France,1,173,234.0
12738,Germany,1,148,155.35
12739,United Arab Emirates,2,486,1013.04
12740,France,1,342,427.6
12743,Unspecified,2,315,540.13
12744,Singapore,7,5241,21279.29
12747,United Kingdom,11,1275,4196.01
12748,United Kingdom,209,25287,33053.19
12749,United Kingdom,5,1471,4090.88
12750,Poland,1,137,275.88
12752,Norway,1,2262,4366.78
12753,Japan,6,11421,21429.39
12754,Japan,3,6481,3010.74
12755,Japan,2,1491,3811.95
12756,Japan,1,144,112.07999999999998
12757,Portugal,13,2395,7834.650000000001
12758,Portugal,2,2135,2791.59
12759,Netherlands,3,902,1531.44
12762,Portugal,2,1227,1898.52
12763,Japan,2,316,494.08
12764,Lebanon,1,386,1693.88
12766,Portugal,7,3646,6989.63
12769,Brazil,1,356,1143.6
12770,Japan,1,743,1351.45
12772,Portugal,1,556,892.47
12775,Netherlands,5,877,1386.04
12778,Netherlands,6,825,822.23
12779,Poland,8,2024,3981.36
12781,Czech Republic,2,671,826.74
12782,Portugal,5,1086,2330.92
12783,Portugal,6,624,2225.91
12784,Portugal,2,280,532.8199999999999
12785,Portugal,1,131,311.95
12787,Netherlands,3,261,463.66
12789,Netherlands,1,4,91.85
12790,Netherlands,1,166,324.92
12791,Netherlands,1,97,192.60000000000002
12792,Portugal,1,217,400.53999999999996
12793,Portugal,2,295,545.48
12794,Portugal,2,592,860.41
12795,Portugal,1,68,430.48
12797,Portugal,1,118,254.03
12798,Japan,3,5256,6977.04
12802,Netherlands,1,314,427.58
12808,Portugal,3,188,483.65000000000003
12809,Portugal,1,220,489.31
12811,Portugal,3,230,514.85
12812,Japan,1,164,229.64000000000001
12814,Poland,1,49,125.92
12815,Poland,2,379,1063.46
12816,Poland,2,128,572.2
12817,Austria,1,53,166.04
12818,Austria,1,929,1542.08
12820,United Kingdom,4,722,942.34
12821,United Kingdom,1,70,92.72
12822,United Kingdom,2,550,948.88
12823,United Kingdom,5,230,1759.5
12824,United Kingdom,1,232,397.12
12826,United Kingdom,7,1058,1474.72
12827,United Kingdom,3,197,430.15000000000003
12828,United Kingdom,6,494,1018.71
12829,United Kingdom,2,376,293.0
12830,United Kingdom,6,9848,6814.64
12831,United Kingdom,1,135,215.05
12832,United Kingdom,2,195,383.03
12833,United Kingdom,1,156,417.38
12834,United Kingdom,1,110,312.38
12836,United Kingdom,4,1062,2610.36
12837,United Kingdom,1,24,134.1
12838,United Kingdom,2,355,671.95
12839,United Kingdom,14,3807,5591.42
12840,United Kingdom,4,1511,2726.77
12841,United Kingdom,25,2720,3991.58
12842,United Kingdom,2,547,1118.99
12843,United Kingdom,8,781,1702.26
12844,United Kingdom,2,125,325.96000000000004
12845,United Kingdom,4,204,354.09
12847,United Kingdom,1,873,843.64
12849,United Kingdom,2,597,1010.29
12851,United Kingdom,1,106,131.81
12852,United Kingdom,1,149,311.55
12853,United Kingdom,6,800,1957.1000000000001
12854,United Kingdom,3,626,1316.25
12855,United Kingdom,1,30,38.1
12856,United Kingdom,6,1076,2170.78
12857,United Kingdom,2,343,1106.4
12863,United Kingdom,1,188,521.2
12864,United Kingdom,1,216,147.12
12865,Austria,2,925,1568.23
12866,Belgium,1,171,559.12
12867,United Kingdom,7,4284,4009.34
12868,United Kingdom,6,928,1607.0600000000002
12871,United Kingdom,2,200,380.64
12872,United Kingdom,2,319,599.97
12873,United Kingdom,1,128,374.0
12875,United Kingdom,2,2019,343.2300000000001
12876,Belgium,2,1941,2218.02
12877,United Kingdom,12,1178,1535.77
12878,United Kingdom,2,547,854.99
12879,United Kingdom,3,370,573.22
12881,United Kingdom,1,21,298.0
12882,United Kingdom,2,246,1463.04
12883,United Kingdom,4,196,703.47
12884,United Kingdom,1,43,309.05
12885,United Kingdom,3,655,1175.22
12886,United Kingdom,2,770,1378.4
12888,United Kingdom,2,76,354.12
12890,United Kingdom,1,256,376.71999999999997
12891,United Kingdom,3,950,331.0
12893,United Kingdom,1,90,176.55
12895,United Kingdom,2,210,372.8
12897,United Kingdom,2,110,216.5
12901,United Kingdom,28,23075,17654.54
12902,United Kingdom,1,66,138.68
12904,United Kingdom,2,294,496.06
12906,United Kingdom,5,1749,2919.81
12908,United Kingdom,2,1200,750.0
12909,United Kingdom,5,1280,2178.67
12910,United Kingdom,8,1692,3075.04
12912,United Kingdom,5,670,1662.3
12913,United Kingdom,5,1419,2483.63
12915,United Kingdom,2,93,363.65
12916,United Kingdom,4,1083,2944.95
12917,United Kingdom,1,120,594.0
12919,United Kingdom,6,673,1335.19
12920,United Kingdom,1,128,162.78
12921,United Kingdom,37,9526,16587.09
12922,United Kingdom,1,370,405.38
12923,United Kingdom,1,68,172.82
12924,United Kingdom,4,481,933.7
12925,United Kingdom,2,541,694.05
12928,United Kingdom,5,1472,2062.7000000000003
12929,United Kingdom,1,37,117.85
12930,United Kingdom,2,252,415.8
12931,United Kingdom,15,28004,42055.96
12933,United Kingdom,3,499,607.53
12935,United Kingdom,7,1853,2160.7
12936,United Kingdom,4,559,1063.9
12937,United Kingdom,4,1007,1504.27
12938,United Kingdom,1,140,114.14
12939,United Kingdom,8,4876,11581.8
12940,United Kingdom,2,404,899.69
12942,United Kingdom,3,198,675.6
12944,United Kingdom,2,289,604.51
12945,United Kingdom,1,165,462.95
12947,United Kingdom,6,1165,1603.99
12948,United Kingdom,7,1080,2064.95
12949,United Kingdom,8,2381,4167.22
12950,United Kingdom,3,1380,1843.0
12951,United Kingdom,6,503,1064.07
12952,United Kingdom,4,653,1387.79
12953,United Kingdom,1,84,329.85
12955,United Kingdom,11,3664,4757.16
12956,United Kingdom,1,34,108.07
12957,United Kingdom,8,2549,4017.54
12962,United Kingdom,2,129,266.39
12963,United Kingdom,8,881,1856.63
12965,United Kingdom,1,282,769.8100000000001
12966,United Kingdom,1,75,160.18
12967,United Kingdom,2,438,1660.9
12968,United Kingdom,1,73,135.95
12970,United Kingdom,4,268,405.47
12971,United Kingdom,86,9289,11189.91
12974,United Kingdom,1,24,144.8
12976,United Kingdom,1,561,738.6
12977,United Kingdom,1,12,39.239999999999995
12980,United Kingdom,9,886,7374.900000000001
12981,United Kingdom,2,242,372.21999999999997
12982,United Kingdom,1,288,390.54
12984,United Kingdom,1,26,97.5
12985,United Kingdom,2,1533,1239.38
12987,United Kingdom,2,219,558.7
12988,United Kingdom,1,126,505.82
12989,United Kingdom,15,2943,6924.110000000001
12990,United Kingdom,3,200,409.5
12991,United Kingdom,2,405,503.76
12993,United Kingdom,4,240,414.76
12994,United Kingdom,3,459,974.4200000000001
12995,United Kingdom,1,108,211.32
12997,United Kingdom,4,664,1226.89
12999,United Kingdom,3,342,455.88
13000,United Kingdom,3,379,534.85
13001,United Kingdom,13,5490,9785.970000000001
13002,United Kingdom,1,73,120.94999999999999
13003,United Kingdom,3,103,149.05
13004,United Kingdom,18,4822,5655.91
13005,United Kingdom,2,172,513.7
13006,United Kingdom,1,55,81.57
13008,United Kingdom,1,175,229.46999999999997
13011,United Kingdom,1,13,50.550000000000004
13012,United Kingdom,8,820,1646.8400000000001
13013,United Kingdom,13,2224,4810.9400000000005
13014,United Kingdom,10,905,3466.2799999999997
13015,United Kingdom,5,1609,3339.64
13016,United Kingdom,3,527,789.89
13017,United Kingdom,1,48,204.0
13018,United Kingdom,28,5435,7277.7
13021,United Kingdom,9,1352,2616.38
13023,United Kingdom,2,286,689.9
13026,United Kingdom,5,1620,975.36
13027,United Kingdom,6,17280,6912.0
13028,United Kingdom,2,798,661.3199999999999
13029,United Kingdom,3,134,1247.5
13030,United Kingdom,2,348,752.4399999999999
13032,United Kingdom,2,375,1010.18
13033,United Kingdom,1,83,190.55
13034,United Kingdom,2,369,642.77
13035,United Kingdom,2,644,921.88
13037,United Kingdom,3,431,881.07
13038,United Kingdom,3,360,908.46
13040,United Kingdom,2,355,676.99
13043,United Kingdom,1,254,516.42
13044,United Kingdom,1,429,560.47
13045,United Kingdom,1,221,305.28000000000003
13046,United Kingdom,2,264,629.31
13047,United Kingdom,10,1391,3237.54
13048,United Kingdom,4,1228,1819.41
13049,United Kingdom,2,268,656.6800000000001
13050,United Kingdom,17,3748,5836.86
13052,United Kingdom,1,222,348.15000000000003
13055,United Kingdom,3,894,1214.41
13058,United Kingdom,3,52,271.40000000000003
13059,United Kingdom,1,35,183.4
13060,United Kingdom,1,123,307.53
13061,United Kingdom,1,107,248.61
13062,United Kingdom,1,343,346.98
13064,United Kingdom,4,514,1105.59
13065,United Kingdom,1,74,205.86
13066,United Kingdom,2,322,470.8
13067,United Kingdom,1,32,115.46000000000001
13068,United Kingdom,2,200,344.0
13069,United Kingdom,24,5873,4431.44
13070,United Kingdom,1,110,228.8
13072,United Kingdom,1,69,177.15
13075,United Kingdom,1,485,919.61
13077,United Kingdom,4,862,728.02
13078,United Kingdom,26,5630,12627.94
13079,United Kingdom,5,62,220.10000000000002
13080,United Kingdom,1,120,58.08
13081,United Kingdom,11,19068,28337.38
13082,United Kingdom,9,4324,3613.63
13083,United Kingdom,2,187,303.75
13085,United Kingdom,2,216,416.08000000000004
13089,United Kingdom,97,31025,58762.08
13090,United Kingdom,14,2263,8910.82
13091,United Kingdom,1,466,345.82
13092,United Kingdom,5,279,477.83
13093,United Kingdom,8,3961,7832.47
13094,United Kingdom,12,1716,1927.3200000000002
13095,United Kingdom,1,144,74.39999999999999
13097,United Kingdom,10,2360,6003.22
13098,United Kingdom,28,15968,28882.44
13099,United Kingdom,1,288,207.35999999999999
13101,United Kingdom,1,113,101.19
13102,United Kingdom,24,4204,6424.09
13103,United Kingdom,1,82,243.94
13104,United Kingdom,6,504,1098.48
13106,United Kingdom,1,18,76.5
13107,United Kingdom,4,1293,1531.6200000000001
13108,United Kingdom,1,298,350.06
13109,United Kingdom,2,520,786.54
13110,United Kingdom,7,388,1488.67
13113,United Kingdom,24,3045,12245.960000000001
13115,United Kingdom,4,1567,2294.78
13116,United Kingdom,1,291,501.14
13117,United Kingdom,8,945,984.91
13118,United Kingdom,5,410,1197.81
13120,United Kingdom,1,12,30.599999999999998
13121,United Kingdom,1,252,283.73
13122,United Kingdom,2,585,922.39
13124,United Kingdom,3,2119,3756.33
13126,United Kingdom,8,2143,2099.64
13127,United Kingdom,1,127,259.17
13130,United Kingdom,1,32,64.0
13131,United Kingdom,3,447,1073.3
13132,United Kingdom,1,20,77.3
13133,United Kingdom,2,32,109.8
13134,United Kingdom,4,1059,1793.58
13135,United Kingdom,1,4300,3096.0
13136,United Kingdom,5,1328,2607.61
13137,United Kingdom,8,2204,3603.29
13138,United Kingdom,6,473,962.39
13139,United Kingdom,7,2425,5064.94
13140,United Kingdom,3,185,422.47
13141,United Kingdom,5,1548,2388.75
13142,United Kingdom,1,258,307.09
13144,United Kingdom,1,21,110.95
13145,United Kingdom,4,145,618.52
13146,United Kingdom,1,154,228.91
13147,United Kingdom,4,144,712.8000000000001
13148,United Kingdom,12,1965,3683.26
13149,United Kingdom,4,1280,1676.06
13151,United Kingdom,1,363,1257.8700000000001
13153,United Kingdom,1,418,486.22
13155,United Kingdom,4,497,971.76
13157,United Kingdom,4,1439,1741.22
13158,United Kingdom,4,784,1201.06
13159,United Kingdom,4,1058,1429.35
13160,United Kingdom,1,56,91.8
13161,United Kingdom,1,29,112.75
13162,United Kingdom,4,1713,1688.29
13165,United Kingdom,2,1376,1021.48
13166,United Kingdom,1,216,417.2
13167,United Kingdom,4,785,791.33
13168,United Kingdom,4,670,1299.59
13169,United Kingdom,2,272,712.88
13170,United Kingdom,1,141,108.81
13171,United Kingdom,3,229,468.41
13173,United Kingdom,2,277,353.65
13174,United Kingdom,3,1352,2742.82
13176,United Kingdom,1,448,481.49
13177,United Kingdom,1,91,282.45
13178,United Kingdom,11,3570,5725.47
13182,United Kingdom,1,201,121.18
13183,United Kingdom,9,2208,3957.78
13184,United Kingdom,10,1662,1668.95
13185,United Kingdom,1,12,71.4
13186,United Kingdom,3,820,1575.89
13187,United Kingdom,1,95,236.02
13188,United Kingdom,1,25,114.60000000000001
13189,United Kingdom,2,842,260.68
13192,United Kingdom,2,595,911.94
13193,United Kingdom,1,46,112.08
13194,United Kingdom,1,26,60.7
13196,United Kingdom,4,1224,1797.78
13198,United Kingdom,6,2648,3401.2400000000002
13199,United Kingdom,38,6176,9817.12
13200,United Kingdom,4,516,870.09
13203,United Kingdom,4,800,869.46
13207,United Kingdom,2,130,250.26000000000002
13208,United Kingdom,6,803,1217.65
13209,United Kingdom,8,4253,5891.61
13210,United Kingdom,1,316,353.48
13211,United Kingdom,3,834,1095.42
13212,United Kingdom,3,309,786.83
13213,United Kingdom,5,1360,1520.58
13216,United Kingdom,1,297,333.74
13217,United Kingdom,3,262,533.98
13218,United Kingdom,1,88,62.63999999999999
13220,United Kingdom,4,196,819.2900000000001
13221,United Kingdom,2,244,847.41
13223,United Kingdom,2,88,163.20000000000002
13224,United Kingdom,2,1518,2155.95
13225,United Kingdom,7,3416,6463.84
13226,United Kingdom,1,80,108.21000000000001
13227,United Kingdom,1,99,257.7
13228,United Kingdom,1,200,358.0
13229,United Kingdom,1,63,160.95
13230,United Kingdom,14,1638,2755.63
13232,United Kingdom,7,773,1328.35
13233,United Kingdom,2,1004,605.12
13235,United Kingdom,1,441,1031.07
13236,United Kingdom,2,416,744.85
13238,United Kingdom,4,298,700.73
13239,United Kingdom,1,327,329.56
13240,United Kingdom,4,298,663.65
13242,United Kingdom,3,130,270.40000000000003
13243,United Kingdom,1,232,585.12
13244,United Kingdom,1,38,121.74000000000001
13245,United Kingdom,1,125,430.5
13246,United Kingdom,6,1587,1961.52
13247,United Kingdom,4,328,501.12
13248,United Kingdom,2,305,465.68
13249,United Kingdom,3,546,711.41
13253,United Kingdom,2,1572,1030.4
13255,United Kingdom,2,177,399.51
13258,United Kingdom,3,282,672.83
13259,United Kingdom,1,126,283.18
13260,United Kingdom,1,142,557.62
13261,United Kingdom,2,210,944.1
13262,United Kingdom,1,125,200.29
13263,United Kingdom,35,4768,7436.93
13265,United Kingdom,5,1740,2092.66
13266,United Kingdom,12,4428,3834.2599999999998
13267,United Kingdom,19,1969,4521.49
13268,United Kingdom,11,3624,3174.75
13269,United Kingdom,15,3513,5343.28
13270,United Kingdom,1,200,590.0
13271,United Kingdom,1,240,211.49
13272,United Kingdom,2,96,276.56
13273,United Kingdom,1,153,138.98
13276,United Kingdom,2,161,590.9300000000001
13277,United Kingdom,4,176,258.4
13278,United Kingdom,1,537,542.73
13279,United Kingdom,1,73,137.75
13280,United Kingdom,3,518,798.46
13282,United Kingdom,3,307,1132.14
13283,United Kingdom,2,90,93.66
13284,United Kingdom,1,91,201.19
13285,United Kingdom,4,2051,2709.12
13291,United Kingdom,1,233,361.11
13292,United Kingdom,2,347,578.9399999999999
13294,United Kingdom,2,453,873.74
13295,United Kingdom,1,82,201.20000000000002
13296,United Kingdom,1,78,87.4
13297,United Kingdom,4,963,2089.85
13298,United Kingdom,1,96,360.0
13299,United Kingdom,1,30,142.5
13300,United Kingdom,1,203,371.89
13301,United Kingdom,4,345,618.09
13302,United Kingdom,1,5,63.75
13304,United Kingdom,1,238,300.42
13305,United Kingdom,10,1232,2000.86
13307,United Kingdom,1,4,15.0
13308,United Kingdom,3,843,1385.51
13309,United Kingdom,5,1544,1456.79
13310,United Kingdom,3,587,1132.03
13311,United Kingdom,2,305,598.57
13313,United Kingdom,5,851,1555.32
13314,United Kingdom,3,560,775.94
13316,United Kingdom,4,5508,5732.93
13317,United Kingdom,6,1035,2273.68
13318,United Kingdom,3,304,640.76
13319,United Kingdom,26,4724,10845.550000000001
13320,United Kingdom,4,1086,1532.2
13321,United Kingdom,2,372,567.36
13322,United Kingdom,1,117,199.48000000000002
13323,United Kingdom,5,175,787.85
13324,United Kingdom,10,5205,7121.95
13325,United Kingdom,1,240,675.3
13327,United Kingdom,8,1600,3627.77
13328,United Kingdom,1,680,1308.48
13329,United Kingdom,2,463,789.0
13330,United Kingdom,3,751,1140.93
13332,United Kingdom,1,179,350.9
13334,United Kingdom,3,1764,3502.32
13336,United Kingdom,1,559,795.12
13338,United Kingdom,1,256,487.02
13339,United Kingdom,1,326,860.12
13340,United Kingdom,7,5770,10736.48
13341,United Kingdom,1,301,775.85
13343,United Kingdom,1,135,353.43
13344,United Kingdom,3,952,2511.69
13345,United Kingdom,1,141,389.5
13347,United Kingdom,1,205,341.36
13348,United Kingdom,1,136,233.76
13349,United Kingdom,1,225,247.32
13350,United Kingdom,2,287,979.12
13351,United Kingdom,1,117,373.94
13352,United Kingdom,1,321,397.97999999999996
13354,United Kingdom,1,604,743.53
13355,United Kingdom,1,314,674.7
13356,United Kingdom,1,325,768.24
13357,United Kingdom,1,321,609.4
13358,United Kingdom,1,285,439.03
13359,United Kingdom,1,161,439.56
13362,United Kingdom,4,1382,3090.7400000000002
13363,United Kingdom,2,710,992.5
13364,United Kingdom,1,71,134.95999999999998
13365,United Kingdom,2,1247,2225.37
13366,United Kingdom,1,144,56.160000000000004
13368,United Kingdom,2,327,623.4
13369,United Kingdom,1,149,308.28000000000003
13370,United Kingdom,1,343,754.87
13372,United Kingdom,1,159,378.64
13373,United Kingdom,3,1651,3312.25
13375,United Kingdom,1,442,778.65
13376,United Kingdom,3,493,1019.76
13379,United Kingdom,3,601,572.56
13381,United Kingdom,6,2029,3639.31
13382,United Kingdom,1,131,222.99
13384,United Kingdom,7,2422,4151.93
13385,United Kingdom,1,281,534.57
13388,United Kingdom,2,282,677.1
13389,United Kingdom,3,429,797.96
