Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,estimated_stock_after_sales,inventory_to_demand_ratio,forecast_error,absolute_forecast_error,stockout_risk,high_demand,discount_applied,price_difference_competitor
2022-01-01,S001,P0018,Clothing,South,241,151,47,147.27,19.57,5,Cloudy,0,23.13,Autumn,90,1.6364500577171182,-3.7299999999999898,3.7299999999999898,0,1,1,-3.5599999999999987
2022-01-01,S001,P0019,Clothing,East,352,257,186,267.38,73.28,10,Cloudy,0,77.26,Winter,95,1.3164784202258957,10.379999999999995,10.379999999999995,0,1,1,-3.980000000000004
2022-01-01,S001,P0020,Toys,East,274,99,166,115.23,30.24,5,Cloudy,0,27.1,Spring,175,2.377852989672828,16.230000000000004,16.230000000000004,0,0,1,3.139999999999997
2022-01-01,S002,P0001,Groceries,South,343,104,144,112.55,32.8,20,Sunny,1,30.78,Spring,239,3.0475344291426034,8.549999999999997,8.549999999999997,0,0,1,2.019999999999996
2022-01-01,S002,P0002,Clothing,West,373,141,151,135.62,46.16,10,Rainy,1,45.21,Winter,232,2.75033180946763,-5.379999999999996,5.379999999999996,0,1,1,0.9499999999999956
2022-01-01,S002,P0003,Furniture,East,445,182,119,176.31,20.46,20,Snowy,1,22.0,Spring,263,2.523963473427486,-5.689999999999998,5.689999999999998,0,1,1,-1.5399999999999991
2022-01-01,S002,P0004,Toys,West,191,63,115,54.57,26.19,0,Cloudy,0,28.06,Autumn,128,3.500091625435221,-8.43,8.43,0,0,0,-1.8699999999999972
2022-01-01,S002,P0005,Toys,West,281,156,25,150.9,83.29,20,Rainy,0,80.64,Autumn,125,1.8621603711066927,-5.099999999999994,5.099999999999994,0,1,1,2.6500000000000057
2022-01-01,S002,P0006,Furniture,North,492,250,168,242.57,85.59,20,Cloudy,0,86.82,Winter,242,2.028280496351569,-7.430000000000007,7.430000000000007,0,1,1,-1.2299999999999898
2022-01-01,S002,P0007,Groceries,West,460,393,70,401.48,91.13,5,Sunny,0,93.33,Summer,67,1.1457606854637838,8.480000000000018,8.480000000000018,0,1,1,-2.200000000000003
2022-01-01,S002,P0008,Electronics,West,304,29,99,35.54,66.96,20,Snowy,0,65.36,Summer,275,8.55374226223973,6.539999999999999,6.539999999999999,0,0,1,1.5999999999999943
2022-01-01,S002,P0009,Clothing,South,113,9,84,14.78,81.29,5,Rainy,1,82.06,Winter,104,7.645466847090663,5.779999999999999,5.779999999999999,0,0,1,-0.769999999999996
2022-01-01,S002,P0010,Electronics,North,157,126,181,132.75,60.84,0,Snowy,1,65.22,Winter,31,1.182674199623352,6.75,6.75,0,1,0,-4.379999999999996
2022-01-01,S002,P0011,Groceries,West,67,13,33,7.44,34.62,0,Snowy,1,33.98,Autumn,54,9.00537634408602,-5.56,5.56,0,0,0,0.6400000000000006
2022-01-01,S002,P0012,Groceries,East,281,25,136,37.27,19.56,5,Rainy,1,19.01,Winter,256,7.539576066541453,12.270000000000003,12.270000000000003,0,0,1,0.5499999999999972
2022-01-01,S002,P0013,Clothing,East,389,283,177,299.7,57.78,20,Cloudy,0,58.5,Spring,106,1.297964631297965,16.69999999999999,16.69999999999999,0,1,1,-0.7199999999999989
2022-01-01,S002,P0014,Electronics,East,465,359,77,370.36,91.28,20,Cloudy,0,90.85,Summer,106,1.2555351549843394,11.360000000000014,11.360000000000014,0,1,1,0.4300000000000068
2022-01-01,S002,P0015,Toys,South,197,129,94,148.55,59.9,15,Sunny,1,55.23,Winter,68,1.3261528105015146,19.55000000000001,19.55000000000001,0,1,1,4.670000000000002
2022-01-01,S002,P0016,Toys,South,242,63,85,58.07,45.65,20,Rainy,1,42.17,Spring,179,4.167384191493026,-4.93,4.93,0,0,1,3.479999999999997
2022-01-01,S002,P0017,Groceries,West,398,373,92,390.89,11.71,20,Cloudy,1,10.0,Winter,25,1.0181892604057408,17.889999999999986,17.889999999999986,0,1,1,1.7100000000000009
2022-01-01,S002,P0018,Groceries,North,234,160,140,177.41,58.84,5,Cloudy,0,54.39,Summer,74,1.3189786370554084,17.409999999999997,17.409999999999997,0,1,1,4.450000000000003
2022-01-01,S002,P0019,Toys,East,67,15,186,34.38,84.99,5,Sunny,1,81.02,Winter,52,1.948807446189645,19.380000000000003,19.380000000000003,0,0,1,3.969999999999999
2022-01-01,S002,P0020,Toys,West,221,101,38,115.0,87.1,0,Rainy,1,91.56,Spring,120,1.9217391304347824,14.0,14.0,0,0,0,-4.460000000000008
2022-01-01,S003,P0001,Toys,South,241,147,180,161.09,67.21,5,Sunny,1,67.39,Summer,94,1.496058104165373,14.090000000000003,14.090000000000003,0,1,1,-0.1800000000000068
2022-01-01,S003,P0002,Electronics,West,115,4,169,11.11,28.2,10,Sunny,1,25.63,Spring,111,10.351035103510352,7.109999999999999,7.109999999999999,0,0,1,2.5700000000000003
2022-01-01,S003,P0003,Groceries,South,375,77,145,75.04,56.16,10,Sunny,1,57.16,Spring,298,4.997334754797441,-1.9599999999999935,1.9599999999999935,0,0,1,-1.0
2022-01-01,S003,P0004,Toys,South,153,31,145,42.99,89.53,20,Rainy,1,93.6,Winter,122,3.558967201674808,11.990000000000002,11.990000000000002,0,0,1,-4.069999999999993
2022-01-01,S003,P0005,Clothing,West,438,325,20,330.92,97.95,20,Sunny,0,93.54,Winter,113,1.3235827390305814,5.920000000000016,5.920000000000016,0,1,1,4.409999999999997
2022-01-01,S003,P0006,Groceries,North,456,163,22,159.17,76.37,5,Rainy,1,71.38,Summer,293,2.864861468869762,-3.830000000000013,3.830000000000013,0,1,1,4.990000000000009
2022-01-01,S003,P0007,Electronics,North,189,34,107,26.91,86.99,15,Rainy,1,90.5,Summer,155,7.023411371237458,-7.09,7.09,0,0,1,-3.510000000000005
2022-01-01,S003,P0008,Toys,North,223,47,107,45.48,66.53,15,Cloudy,1,70.46,Spring,176,4.903254177660511,-1.5200000000000031,1.5200000000000031,0,0,1,-3.9299999999999926
2022-01-01,S003,P0009,Groceries,South,381,15,184,30.05,74.86,15,Snowy,1,73.93,Winter,366,12.678868552412643,15.05,15.05,0,0,1,0.9299999999999926
2022-01-01,S003,P0010,Groceries,South,166,126,124,141.34,97.09,5,Rainy,1,95.8,Summer,40,1.1744729022215934,15.340000000000003,15.340000000000003,0,1,1,1.2900000000000065
2022-01-01,S003,P0011,Toys,East,292,232,155,242.02,56.19,0,Snowy,1,57.85,Winter,60,1.2065118585240888,10.02000000000001,10.02000000000001,0,1,0,-1.6600000000000037
2022-01-01,S003,P0012,Electronics,North,311,175,55,176.75,90.38,20,Cloudy,0,89.52,Summer,136,1.7595473833097597,1.75,1.75,0,1,1,0.8599999999999994
2022-01-01,S003,P0013,Furniture,North,51,17,172,12.86,73.98,20,Cloudy,1,76.65,Summer,34,3.965785381026439,-4.140000000000001,4.140000000000001,0,0,1,-2.6700000000000017
2022-01-01,S003,P0014,Electronics,South,398,369,26,387.88,79.03,5,Rainy,0,82.51,Spring,29,1.0260905434670518,18.879999999999995,18.879999999999995,0,1,1,-3.480000000000004
2022-01-01,S003,P0015,Clothing,West,445,260,24,266.36,27.72,5,Snowy,0,23.28,Autumn,185,1.670671271962757,6.360000000000014,6.360000000000014,0,1,1,4.439999999999998
2022-01-01,S003,P0016,Groceries,South,487,347,93,349.36,98.18,15,Rainy,0,99.58,Winter,140,1.3939775589649646,2.3600000000000136,2.3600000000000136,0,1,1,-1.3999999999999917
2022-01-01,S003,P0017,Clothing,East,429,150,168,157.82,27.1,5,Cloudy,1,27.4,Spring,279,2.7182866556836904,7.819999999999993,7.819999999999993,0,1,1,-0.2999999999999971
2022-01-01,S003,P0018,Toys,West,204,70,170,83.01,97.08,15,Snowy,1,94.88,Winter,134,2.4575352367184675,13.010000000000003,13.010000000000003,0,0,1,2.200000000000003
2022-01-01,S003,P0019,Clothing,East,330,249,37,268.25,26.71,15,Cloudy,1,24.81,Summer,81,1.2301957129543335,19.25,19.25,0,1,1,1.900000000000002
2022-01-01,S003,P0020,Electronics,North,431,370,99,387.57,95.85,20,Cloudy,1,95.7,Spring,61,1.1120571767680678,17.569999999999993,17.569999999999993,0,1,1,0.1499999999999914
2022-01-01,S004,P0001,Toys,South,477,271,66,286.65,15.62,15,Sunny,0,16.09,Winter,206,1.6640502354788071,15.649999999999975,15.649999999999975,0,1,1,-0.4700000000000006
2022-01-01,S004,P0002,Clothing,North,462,180,183,176.06,41.13,5,Sunny,0,45.05,Autumn,282,2.624105418607293,-3.9399999999999977,3.9399999999999977,0,1,1,-3.9199999999999946
2022-01-01,S004,P0003,Clothing,West,446,344,27,352.93,89.32,20,Cloudy,0,93.0,Autumn,102,1.2637066840449946,8.930000000000007,8.930000000000007,0,1,1,-3.680000000000007
2022-01-01,S004,P0004,Groceries,West,437,0,160,0.0,87.23,10,Sunny,0,90.36,Spring,437,,0.0,0.0,0,0,1,-3.1299999999999955
2022-01-01,S004,P0005,Groceries,North,397,200,172,196.57,81.72,0,Snowy,1,85.22,Spring,197,2.0196367706160654,-3.430000000000007,3.430000000000007,0,1,0,-3.5
2022-01-01,S004,P0006,Electronics,East,470,382,195,396.4,41.35,10,Snowy,0,39.86,Summer,88,1.1856710393541878,14.399999999999975,14.399999999999975,0,1,1,1.490000000000002
2022-01-01,S004,P0007,Electronics,West,264,190,139,197.45,67.26,20,Cloudy,0,64.78,Summer,74,1.3370473537604457,7.449999999999989,7.449999999999989,0,1,1,2.480000000000004
2022-01-01,S004,P0008,Furniture,South,250,51,137,54.98,85.88,20,Snowy,1,86.14,Winter,199,4.547108039287013,3.979999999999997,3.979999999999997,0,0,1,-0.2600000000000051
2022-01-01,S004,P0009,Furniture,North,63,40,73,51.78,59.23,10,Rainy,1,61.1,Summer,23,1.216685979142526,11.78,11.78,0,0,1,-1.8700000000000043
2022-01-01,S004,P0010,Groceries,East,447,104,96,115.03,33.48,15,Cloudy,0,37.15,Summer,343,3.885942797531079,11.03,11.03,0,0,1,-3.6700000000000017
2022-01-01,S004,P0011,Electronics,West,205,46,27,46.65,54.84,0,Sunny,1,57.76,Spring,159,4.394426580921758,0.6499999999999986,0.6499999999999986,0,0,0,-2.9199999999999946
2022-01-01,S004,P0012,Electronics,North,349,9,165,0.95,14.25,5,Rainy,1,18.56,Spring,340,367.3684210526316,-8.05,8.05,0,0,1,-4.309999999999999
2022-01-01,S004,P0013,Furniture,East,191,56,65,54.47,61.81,0,Sunny,0,63.92,Autumn,135,3.506517348999449,-1.5300000000000011,1.5300000000000011,0,0,0,-2.1099999999999994
2022-01-01,S004,P0014,Electronics,West,406,63,139,69.73,66.94,10,Snowy,1,68.47,Winter,343,5.822458052488169,6.730000000000004,6.730000000000004,0,0,1,-1.5300000000000011
2022-01-01,S004,P0015,Clothing,South,228,181,127,171.96,60.54,5,Cloudy,0,65.27,Autumn,47,1.3258897418004187,-9.039999999999992,9.039999999999992,0,1,1,-4.729999999999997
2022-01-01,S004,P0016,Groceries,South,263,94,24,98.05,94.26,15,Rainy,0,96.74,Summer,169,2.68230494645589,4.049999999999997,4.049999999999997,0,0,1,-2.4799999999999898
2022-01-01,S004,P0017,Electronics,South,203,46,75,55.12,25.55,0,Rainy,0,28.07,Winter,157,3.6828737300435415,9.119999999999996,9.119999999999996,0,0,0,-2.52
2022-01-01,S004,P0018,Groceries,West,143,8,27,27.3,16.73,5,Cloudy,1,18.79,Spring,135,5.238095238095238,19.3,19.3,0,0,1,-2.0599999999999987
2022-01-01,S004,P0019,Groceries,West,359,172,125,181.25,71.2,15,Rainy,1,73.85,Spring,187,1.9806896551724136,9.25,9.25,0,1,1,-2.6499999999999915
2022-01-01,S004,P0020,Clothing,West,211,68,37,86.27,11.5,20,Snowy,0,9.26,Winter,143,2.4458096673235192,18.27,18.27,0,0,1,2.24
2022-01-01,S005,P0001,Toys,West,111,77,60,83.47,70.33,10,Cloudy,0,70.29,Winter,34,1.3298190966814425,6.469999999999999,6.469999999999999,0,0,1,0.039999999999992
2022-01-01,S005,P0002,Clothing,West,415,298,107,292.96,57.15,5,Snowy,1,60.71,Autumn,117,1.416575641725833,-5.0400000000000205,5.0400000000000205,0,1,1,-3.5600000000000023
2022-01-01,S005,P0003,Electronics,North,384,64,26,76.02,36.17,5,Sunny,0,40.93,Spring,320,5.05130228887135,12.019999999999996,12.019999999999996,0,0,1,-4.759999999999998
2022-01-01,S005,P0004,Furniture,West,436,300,174,292.04,50.77,15,Snowy,1,54.7,Spring,136,1.4929461717572934,-7.9599999999999795,7.9599999999999795,0,1,1,-3.93
2022-01-01,S005,P0005,Clothing,West,180,21,47,38.63,92.86,15,Rainy,1,96.3,Winter,159,4.659590991457416,17.630000000000003,17.630000000000003,0,0,1,-3.4399999999999977
2022-01-01,S005,P0006,Groceries,North,185,176,163,174.06,60.76,20,Cloudy,0,61.15,Summer,9,1.0628518901528208,-1.9399999999999975,1.9399999999999975,0,1,1,-0.3900000000000005
2022-01-01,S005,P0007,Clothing,South,292,131,140,122.6,46.47,15,Snowy,0,50.84,Summer,161,2.381729200652529,-8.400000000000006,8.400000000000006,0,1,1,-4.3700000000000045
2022-01-01,S005,P0008,Toys,West,478,317,197,328.64,34.08,5,Snowy,1,30.44,Winter,161,1.454479065238559,11.639999999999986,11.639999999999986,0,1,1,3.639999999999997
2022-01-01,S005,P0009,Groceries,West,182,97,27,92.62,87.81,5,Snowy,0,85.45,Spring,85,1.965018354567048,-4.379999999999996,4.379999999999996,0,0,1,2.3599999999999994
2022-01-01,S005,P0010,Clothing,East,87,8,141,14.38,37.04,10,Rainy,1,36.87,Summer,79,6.050069541029207,6.380000000000001,6.380000000000001,0,0,1,0.1700000000000017
2022-01-01,S005,P0011,Groceries,West,427,104,128,94.65,54.12,10,Rainy,1,53.03,Summer,323,4.511357633386159,-9.349999999999994,9.349999999999994,0,0,1,1.0899999999999963
2022-01-01,S005,P0012,Electronics,West,245,87,188,90.59,67.64,15,Sunny,0,63.53,Summer,158,2.7044927696213708,3.5900000000000034,3.5900000000000034,0,0,1,4.109999999999999
2022-01-01,S005,P0013,Furniture,South,317,238,95,256.57,82.18,5,Cloudy,0,87.09,Summer,79,1.235530264645126,18.569999999999997,18.569999999999997,0,1,1,-4.909999999999997
2022-01-01,S005,P0014,Electronics,South,325,171,43,188.55,42.62,20,Cloudy,1,42.01,Autumn,154,1.7236807212940863,17.55000000000001,17.55000000000001,0,1,1,0.6099999999999994
2022-01-01,S005,P0015,Furniture,West,411,250,119,260.79,11.54,10,Cloudy,0,11.27,Spring,161,1.5759806741056022,10.79000000000002,10.79000000000002,0,1,1,0.2699999999999996
2022-01-01,S005,P0016,Clothing,South,71,11,32,1.85,16.3,5,Sunny,0,17.98,Winter,60,38.37837837837838,-9.15,9.15,0,0,1,-1.6799999999999995
2022-01-01,S005,P0017,Electronics,East,388,371,98,390.04,98.31,15,Sunny,1,102.42,Spring,17,0.9947697672033636,19.04000000000002,19.04000000000002,1,1,1,-4.109999999999999
2022-01-01,S005,P0018,Furniture,West,161,107,66,103.97,48.96,10,Snowy,1,50.03,Spring,54,1.5485236125805522,-3.030000000000001,3.030000000000001,0,0,1,-1.0700000000000005
2022-01-01,S005,P0019,Groceries,South,235,106,124,119.33,88.22,5,Rainy,0,91.16,Spring,129,1.9693287521997824,13.329999999999998,13.329999999999998,0,0,1,-2.9399999999999977
2022-01-01,S005,P0020,Electronics,South,108,101,52,105.92,11.04,10,Snowy,1,9.14,Autumn,7,1.0196374622356494,4.920000000000002,4.920000000000002,0,0,1,1.8999999999999984
2022-01-02,S001,P0001,Groceries,West,116,81,104,92.94,27.95,10,Cloudy,0,30.89,Spring,35,1.2481170647729718,11.939999999999998,11.939999999999998,0,0,1,-2.9400000000000013
2022-01-02,S001,P0002,Clothing,West,416,163,79,171.6,19.78,15,Cloudy,0,18.76,Spring,253,2.4242424242424243,8.599999999999994,8.599999999999994,0,1,1,1.0199999999999996
2022-01-02,S001,P0003,Clothing,South,488,464,163,463.12,70.99,10,Snowy,0,72.93,Summer,24,1.053722577301779,-0.8799999999999955,0.8799999999999955,0,1,1,-1.940000000000012
2022-01-02,S001,P0004,Groceries,East,248,116,107,133.92,49.56,5,Snowy,0,50.46,Summer,132,1.851851851851852,17.919999999999987,17.919999999999987,0,1,1,-0.8999999999999986
2022-01-02,S001,P0005,Electronics,East,238,200,40,204.3,23.76,15,Sunny,1,19.19,Summer,38,1.1649534997552615,4.300000000000011,4.300000000000011,0,1,1,4.57
2022-01-02,S001,P0006,Furniture,East,471,58,32,51.57,47.56,0,Snowy,1,46.82,Summer,413,9.133216986620129,-6.43,6.43,0,0,0,0.740000000000002
2022-01-02,S001,P0007,Electronics,North,178,56,149,60.3,17.1,5,Snowy,1,17.0,Autumn,122,2.951907131011609,4.299999999999997,4.299999999999997,0,0,1,0.1000000000000014
2022-01-02,S001,P0008,Clothing,East,92,74,121,67.04,58.89,5,Cloudy,0,61.56,Autumn,18,1.3723150357995226,-6.959999999999994,6.959999999999994,0,0,1,-2.6700000000000017
2022-01-02,S001,P0009,Toys,South,99,54,182,70.6,99.76,20,Cloudy,0,95.61,Spring,45,1.4022662889518416,16.599999999999994,16.599999999999994,0,0,1,4.150000000000006
2022-01-02,S001,P0010,Clothing,North,171,39,163,47.8,11.44,5,Sunny,0,12.71,Summer,132,3.577405857740586,8.799999999999997,8.799999999999997,0,0,1,-1.2700000000000014
2022-01-02,S001,P0011,Furniture,East,215,12,173,16.92,53.84,0,Cloudy,1,53.79,Spring,203,12.706855791962171,4.920000000000002,4.920000000000002,0,0,0,0.0500000000000042
2022-01-02,S001,P0012,Furniture,East,281,56,187,70.71,57.84,5,Snowy,1,60.99,Summer,225,3.973978220902277,14.709999999999994,14.709999999999994,0,0,1,-3.1499999999999986
2022-01-02,S001,P0013,Toys,North,455,31,124,44.46,35.51,15,Cloudy,1,31.06,Autumn,424,10.23391812865497,13.46,13.46,0,0,1,4.449999999999999
2022-01-02,S001,P0014,Electronics,West,84,25,20,23.36,31.41,0,Cloudy,1,28.6,Spring,59,3.595890410958904,-1.6400000000000006,1.6400000000000006,0,0,0,2.8099999999999987
2022-01-02,S001,P0015,Electronics,East,246,198,67,203.23,28.06,20,Cloudy,1,30.29,Winter,48,1.2104512129114795,5.22999999999999,5.22999999999999,0,1,1,-2.2300000000000004
2022-01-02,S001,P0016,Electronics,West,399,77,147,67.55,35.67,15,Snowy,0,38.02,Summer,322,5.906735751295337,-9.450000000000005,9.450000000000005,0,0,1,-2.3500000000000014
2022-01-02,S001,P0017,Furniture,West,242,165,105,181.86,28.18,5,Cloudy,0,27.5,Autumn,77,1.3306939403937093,16.860000000000014,16.860000000000014,0,1,1,0.6799999999999997
2022-01-02,S001,P0018,Toys,North,478,42,168,55.16,74.42,5,Snowy,0,69.67,Summer,436,8.665699782451052,13.159999999999997,13.159999999999997,0,0,1,4.75
2022-01-02,S001,P0019,Furniture,South,156,8,67,24.41,91.95,5,Cloudy,1,87.43,Spring,148,6.390823433019254,16.41,16.41,0,0,1,4.519999999999996
2022-01-02,S001,P0020,Electronics,North,221,174,168,187.49,97.88,0,Snowy,0,99.5,Autumn,47,1.1787295322417195,13.490000000000007,13.490000000000007,0,1,0,-1.6200000000000043
2022-01-02,S002,P0001,Electronics,West,402,343,141,339.04,66.57,20,Rainy,1,63.92,Summer,59,1.1857008022652191,-3.95999999999998,3.95999999999998,0,1,1,2.6499999999999915
2022-01-02,S002,P0002,Furniture,West,132,71,60,82.44,90.36,5,Rainy,0,86.73,Winter,61,1.6011644832605532,11.439999999999998,11.439999999999998,0,0,1,3.629999999999996
2022-01-02,S002,P0003,Groceries,West,218,157,31,153.42,92.24,5,Snowy,1,89.57,Autumn,61,1.4209359926997784,-3.5800000000000125,3.5800000000000125,0,1,1,2.6700000000000017
2022-01-02,S002,P0004,Groceries,South,131,88,109,100.61,68.71,0,Snowy,0,69.34,Spring,43,1.302057449557698,12.61,12.61,0,0,0,-0.6300000000000097
2022-01-02,S002,P0005,Groceries,North,93,64,128,57.53,87.22,5,Cloudy,1,90.59,Spring,29,1.6165478880584043,-6.469999999999999,6.469999999999999,0,0,1,-3.3700000000000045
2022-01-02,S002,P0006,Groceries,East,344,273,154,273.1,79.38,0,Rainy,0,77.28,Autumn,71,1.2596118637861589,0.1000000000000227,0.1000000000000227,0,1,0,2.0999999999999943
2022-01-02,S002,P0007,Groceries,North,340,247,148,264.18,17.41,15,Snowy,0,13.57,Summer,93,1.287001287001287,17.180000000000007,17.180000000000007,0,1,1,3.84
2022-01-02,S002,P0008,Electronics,North,241,42,187,46.32,14.8,15,Sunny,1,13.94,Spring,199,5.20293609671848,4.32,4.32,0,0,1,0.8600000000000012
2022-01-02,S002,P0009,Electronics,North,296,197,157,195.61,30.5,0,Sunny,0,28.86,Spring,99,1.513215070804151,-1.3899999999999864,1.3899999999999864,0,1,0,1.6400000000000006
2022-01-02,S002,P0010,Groceries,West,472,374,65,387.41,27.84,15,Cloudy,1,32.0,Spring,98,1.2183474871583078,13.410000000000023,13.410000000000023,0,1,1,-4.16
2022-01-02,S002,P0011,Furniture,East,308,154,22,169.13,88.62,0,Cloudy,0,86.3,Winter,154,1.82108437296754,15.129999999999995,15.129999999999995,0,1,0,2.3200000000000074
2022-01-02,S002,P0012,Toys,North,434,236,30,239.09,82.35,20,Rainy,0,83.13,Autumn,198,1.8152160274373668,3.0900000000000034,3.0900000000000034,0,1,1,-0.7800000000000011
2022-01-02,S002,P0013,Toys,North,287,278,92,279.91,92.57,10,Sunny,1,97.09,Summer,9,1.0253295702189988,1.910000000000025,1.910000000000025,0,1,1,-4.52000000000001
2022-01-02,S002,P0014,Furniture,West,190,27,134,31.53,94.38,5,Rainy,0,89.47,Autumn,163,6.026006977481763,4.530000000000001,4.530000000000001,0,0,1,4.909999999999997
2022-01-02,S002,P0015,Toys,North,353,106,191,110.49,70.59,0,Cloudy,1,75.27,Winter,247,3.194859263281745,4.489999999999995,4.489999999999995,0,0,0,-4.679999999999993
2022-01-02,S002,P0016,Toys,West,210,154,70,166.83,63.13,10,Sunny,0,67.23,Autumn,56,1.258766408919259,12.830000000000013,12.830000000000013,0,1,1,-4.100000000000001
2022-01-02,S002,P0017,Clothing,West,193,176,38,174.49,46.04,5,Rainy,1,41.4,Autumn,17,1.1060805776835347,-1.509999999999991,1.509999999999991,0,1,1,4.640000000000001
2022-01-02,S002,P0018,Groceries,East,124,124,46,116.05,21.07,10,Sunny,0,21.71,Autumn,0,1.068504954760879,-7.950000000000003,7.950000000000003,0,1,1,-0.6400000000000006
2022-01-02,S002,P0019,Toys,East,492,479,132,469.74,79.11,0,Cloudy,0,80.06,Winter,13,1.0473879167198876,-9.259999999999993,9.259999999999993,0,1,0,-0.9500000000000028
2022-01-02,S002,P0020,Clothing,South,222,78,42,76.55,64.99,0,Sunny,1,65.4,Summer,144,2.900065316786414,-1.4500000000000028,1.4500000000000028,0,0,0,-0.4100000000000108
2022-01-02,S003,P0001,Toys,West,277,114,40,132.41,73.48,10,Cloudy,0,72.55,Autumn,163,2.0919870100445586,18.41,18.41,0,1,1,0.9300000000000068
2022-01-02,S003,P0002,Groceries,East,175,2,140,0.0,87.5,0,Rainy,0,91.2,Autumn,173,,-2.0,2.0,0,0,0,-3.700000000000003
2022-01-02,S003,P0003,Toys,East,157,7,187,22.8,88.68,20,Cloudy,1,87.38,Autumn,150,6.885964912280701,15.8,15.8,0,0,1,1.3000000000000114
2022-01-02,S003,P0004,Furniture,West,120,54,154,49.64,82.36,20,Snowy,0,85.85,Autumn,66,2.4174053182917,-4.359999999999999,4.359999999999999,0,0,1,-3.489999999999995
2022-01-02,S003,P0005,Furniture,East,375,282,61,297.42,38.56,5,Cloudy,0,36.57,Winter,93,1.2608432519669155,15.420000000000016,15.420000000000016,0,1,1,1.990000000000002
2022-01-02,S003,P0006,Groceries,East,302,93,33,106.58,97.74,0,Cloudy,0,97.69,Winter,209,2.833552261212235,13.579999999999998,13.579999999999998,0,0,0,0.0499999999999971
2022-01-02,S003,P0007,Electronics,West,375,85,40,85.31,37.68,15,Cloudy,0,36.72,Autumn,290,4.395733208299144,0.3100000000000023,0.3100000000000023,0,0,1,0.9600000000000009
